Attributes
atom_atomtype[X,Y,Y] :  6.43074e+00 ; iterations: [ 6.43074e+00 ]
atom_charge[X,Y,Y]   :  1.06715e+00 ; iterations: [ 1.06715e+00 ]
atom_name[X,Y,Y]     :  4.29780e-01 ; iterations: [ 4.29780e-01 ]
sbond_1_atomid[X,Y,Y]:  2.30804e-01 ; iterations: [ 2.30804e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.75693e-01 ; iterations: [ 1.75693e-01 ]
atom_charge[Y,Y,Y]   :  7.78097e-02 ; iterations: [ 7.78097e-02 ]
sbond_3_atomid[Y,Y,Y]:  6.63265e-02 ; iterations: [ 6.63265e-02 ]
atom_atomtype[Y,Y,Y] :  5.52272e-02 ; iterations: [ 5.52272e-02 ]
sbond_2_atomid[X,Y,Y]:  4.51789e-02 ; iterations: [ 4.51789e-02 ]

Attributes summed
atom_atomtype        :  6.48596e+00 ; iterations: [ 6.48596e+00 ]
atom_charge          :  1.14496e+00 ; iterations: [ 1.14496e+00 ]
atom_name            :  4.29780e-01 ; iterations: [ 4.29780e-01 ]
sbond_1_atomid       :  4.06497e-01 ; iterations: [ 4.06497e-01 ]
sbond_3_atomid       :  6.63265e-02 ; iterations: [ 6.63265e-02 ]
sbond_2_atomid       :  4.51789e-02 ; iterations: [ 4.51789e-02 ]

Aggregators
count                :  5.48553e+00 ; iterations: [ 5.48553e+00 ]
projection2_mode     :  9.91440e-01 ; iterations: [ 9.91440e-01 ]
sum                  :  8.38158e-01 ; iterations: [ 8.38158e-01 ]
min                  :  6.01086e-01 ; iterations: [ 6.01086e-01 ]
max                  :  4.07717e-01 ; iterations: [ 4.07717e-01 ]
mode                 :  1.69545e-01 ; iterations: [ 1.69545e-01 ]
projection0_mode     :  8.52309e-02 ; iterations: [ 8.52309e-02 ]

