Attributes
atom_atomtype[X,Y,Y] :  5.38038e+00 ; iterations: [ 5.38038e+00 ]
atom_charge[X,Y,Y]   :  6.28897e-01 ; iterations: [ 6.28897e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.83339e-01 ; iterations: [ 4.83339e-01 ]
sbond_1_atomid[X,Y,Y]:  2.84334e-01 ; iterations: [ 2.84334e-01 ]
atom_name[X,Y,Y]     :  2.79438e-01 ; iterations: [ 2.79438e-01 ]
atom_charge[Y,Y,Y]   :  1.99717e-01 ; iterations: [ 1.99717e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.47645e-01 ; iterations: [ 1.47645e-01 ]
atom_atomtype[Y,Y,Y] :  6.63265e-02 ; iterations: [ 6.63265e-02 ]
sbond_2_atomid[X,Y,Y]:  2.39672e-02 ; iterations: [ 2.39672e-02 ]
sbond_7_atomid[X,Y,Y]:  9.45129e-03 ; iterations: [ 9.45129e-03 ]
sbond_7_atomid[Y,Y,Y]:  6.77153e-03 ; iterations: [ 6.77153e-03 ]

Attributes summed
atom_atomtype        :  5.44670e+00 ; iterations: [ 5.44670e+00 ]
atom_charge          :  8.28614e-01 ; iterations: [ 8.28614e-01 ]
sbond_1_atomid       :  7.67673e-01 ; iterations: [ 7.67673e-01 ]
atom_name            :  2.79438e-01 ; iterations: [ 2.79438e-01 ]
sbond_2_atomid       :  1.71612e-01 ; iterations: [ 1.71612e-01 ]
sbond_7_atomid       :  1.62228e-02 ; iterations: [ 1.62228e-02 ]

Aggregators
count                :  4.43556e+00 ; iterations: [ 4.43556e+00 ]
sum                  :  1.53916e+00 ; iterations: [ 1.53916e+00 ]
min                  :  4.55038e-01 ; iterations: [ 4.55038e-01 ]
max                  :  3.22824e-01 ; iterations: [ 3.22824e-01 ]
projection2_mode     :  2.86494e-01 ; iterations: [ 2.86494e-01 ]
mode                 :  2.72121e-01 ; iterations: [ 2.72121e-01 ]
projection0_mode     :  1.99072e-01 ; iterations: [ 1.99072e-01 ]

