Attributes
atom_atomtype[X,Y,Y] :  4.96455e+00 ; iterations: [ 4.96455e+00 ]
atom_charge[X,Y,Y]   :  7.03558e-01 ; iterations: [ 7.03558e-01 ]
atom_name[X,Y,Y]     :  6.45638e-01 ; iterations: [ 6.45638e-01 ]
sbond_1_atomid[X,Y,Y]:  2.83702e-01 ; iterations: [ 2.83702e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.76725e-01 ; iterations: [ 2.76725e-01 ]
atom_charge[Y,Y,Y]   :  2.72631e-01 ; iterations: [ 2.72631e-01 ]
atom_atomtype[Y,Y,Y] :  1.48049e-01 ; iterations: [ 1.48049e-01 ]
sbond_1_atomid[Y,Y,Y]:  8.68522e-02 ; iterations: [ 8.68522e-02 ]
sbond_2_atomid[X,Y,Y]:  8.19230e-02 ; iterations: [ 8.19230e-02 ]
sbond_7_atomid[X,Y,Y]:  7.65522e-02 ; iterations: [ 7.65522e-02 ]
atom_name[Y,Y,Y]     :  5.96647e-02 ; iterations: [ 5.96647e-02 ]
sbond_2_atomid[Y,Y,Y]:  4.36497e-02 ; iterations: [ 4.36497e-02 ]
sbond_3_atomid[Y,Y,Y]:  2.58264e-02 ; iterations: [ 2.58264e-02 ]

Attributes summed
atom_atomtype        :  5.11260e+00 ; iterations: [ 5.11260e+00 ]
atom_charge          :  9.76189e-01 ; iterations: [ 9.76189e-01 ]
atom_name            :  7.05302e-01 ; iterations: [ 7.05302e-01 ]
sbond_1_atomid       :  3.70554e-01 ; iterations: [ 3.70554e-01 ]
sbond_7_atomid       :  3.53277e-01 ; iterations: [ 3.53277e-01 ]
sbond_2_atomid       :  1.25573e-01 ; iterations: [ 1.25573e-01 ]
sbond_3_atomid       :  2.58264e-02 ; iterations: [ 2.58264e-02 ]

Aggregators
count                :  3.75081e+00 ; iterations: [ 3.75081e+00 ]
projection2_mode     :  1.73110e+00 ; iterations: [ 1.73110e+00 ]
min                  :  7.07156e-01 ; iterations: [ 7.07156e-01 ]
sum                  :  6.93110e-01 ; iterations: [ 6.93110e-01 ]
mode                 :  4.80189e-01 ; iterations: [ 4.80189e-01 ]
projection0_mode     :  2.53576e-01 ; iterations: [ 2.53576e-01 ]
max                  :  5.33787e-02 ; iterations: [ 5.33787e-02 ]

