Attributes
atom_atomtype[X,Y,Y] :  5.90042e+00 ; iterations: [ 5.90042e+00 ]
atom_charge[X,Y,Y]   :  1.34278e+00 ; iterations: [ 1.34278e+00 ]
atom_charge[Y,Y,Y]   :  4.34060e-01 ; iterations: [ 4.34060e-01 ]
sbond_1_atomid[X,Y,Y]:  3.36459e-01 ; iterations: [ 3.36459e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.05409e-01 ; iterations: [ 2.05409e-01 ]
sbond_2_atomid[X,Y,Y]:  1.84598e-01 ; iterations: [ 1.84598e-01 ]
atom_name[X,Y,Y]     :  1.57907e-01 ; iterations: [ 1.57907e-01 ]
atom_atomtype[Y,Y,Y] :  1.23457e-01 ; iterations: [ 1.23457e-01 ]
atom_name[Y,Y,Y]     :  1.14792e-01 ; iterations: [ 1.14792e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.11195e-01 ; iterations: [ 1.11195e-01 ]
sbond_2_atomid[Y,Y,Y]:  7.10478e-02 ; iterations: [ 7.10478e-02 ]

Attributes summed
atom_atomtype        :  6.02388e+00 ; iterations: [ 6.02388e+00 ]
atom_charge          :  1.77684e+00 ; iterations: [ 1.77684e+00 ]
sbond_1_atomid       :  5.41868e-01 ; iterations: [ 5.41868e-01 ]
atom_name            :  2.72699e-01 ; iterations: [ 2.72699e-01 ]
sbond_2_atomid       :  2.55646e-01 ; iterations: [ 2.55646e-01 ]
sbond_7_atomid       :  1.11195e-01 ; iterations: [ 1.11195e-01 ]

Aggregators
count                :  5.45610e+00 ; iterations: [ 5.45610e+00 ]
projection2_mode     :  1.31941e+00 ; iterations: [ 1.31941e+00 ]
mode                 :  7.10790e-01 ; iterations: [ 7.10790e-01 ]
max                  :  6.51608e-01 ; iterations: [ 6.51608e-01 ]
min                  :  4.30752e-01 ; iterations: [ 4.30752e-01 ]
sum                  :  2.31226e-01 ; iterations: [ 2.31226e-01 ]
projection0_mode     :  1.82242e-01 ; iterations: [ 1.82242e-01 ]

