Attributes
atom_atomtype[X,Y,Y] :  4.56664e+00 ; iterations: [ 4.56664e+00 ]
atom_charge[X,Y,Y]   :  6.85781e-01 ; iterations: [ 6.85781e-01 ]
sbond_1_atomid[Y,Y,Y]:  6.43925e-01 ; iterations: [ 6.43925e-01 ]
atom_charge[Y,Y,Y]   :  4.09791e-01 ; iterations: [ 4.09791e-01 ]
sbond_1_atomid[X,Y,Y]:  2.53644e-01 ; iterations: [ 2.53644e-01 ]
sbond_2_atomid[Y,Y,Y]:  4.71143e-02 ; iterations: [ 4.71143e-02 ]
atom_atomtype[Y,Y,Y] :  2.80508e-02 ; iterations: [ 2.80508e-02 ]
sbond_2_atomid[X,Y,Y]:  2.79926e-02 ; iterations: [ 2.79926e-02 ]
atom_name[Y,Y,Y]     :  2.79926e-02 ; iterations: [ 2.79926e-02 ]
sbond_7_atomid[Y,Y,Y]:  5.98955e-03 ; iterations: [ 5.98955e-03 ]
sbond_7_atomid[X,Y,Y]:  5.27312e-03 ; iterations: [ 5.27312e-03 ]

Attributes summed
atom_atomtype        :  4.59469e+00 ; iterations: [ 4.59469e+00 ]
atom_charge          :  1.09557e+00 ; iterations: [ 1.09557e+00 ]
sbond_1_atomid       :  8.97569e-01 ; iterations: [ 8.97569e-01 ]
sbond_2_atomid       :  7.51069e-02 ; iterations: [ 7.51069e-02 ]
atom_name            :  2.79926e-02 ; iterations: [ 2.79926e-02 ]
sbond_7_atomid       :  1.12627e-02 ; iterations: [ 1.12627e-02 ]

Aggregators
count                :  3.93173e+00 ; iterations: [ 3.93173e+00 ]
min                  :  7.29627e-01 ; iterations: [ 7.29627e-01 ]
projection2_mode     :  5.78157e-01 ; iterations: [ 5.78157e-01 ]
mode                 :  4.65835e-01 ; iterations: [ 4.65835e-01 ]
max                  :  4.36813e-01 ; iterations: [ 4.36813e-01 ]
sum                  :  3.05955e-01 ; iterations: [ 3.05955e-01 ]
projection0_mode     :  2.54076e-01 ; iterations: [ 2.54076e-01 ]

