Attributes
atom_atomtype[X,Y,Y] :  4.36586e+00 ; iterations: [ 4.36586e+00 ]
atom_charge[X,Y,Y]   :  9.04596e-01 ; iterations: [ 9.04596e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.71882e-01 ; iterations: [ 7.71882e-01 ]
sbond_1_atomid[X,Y,Y]:  6.24431e-01 ; iterations: [ 6.24431e-01 ]
atom_name[X,Y,Y]     :  3.95826e-01 ; iterations: [ 3.95826e-01 ]
atom_charge[Y,Y,Y]   :  2.89134e-01 ; iterations: [ 2.89134e-01 ]
atom_atomtype[Y,Y,Y] :  1.63518e-01 ; iterations: [ 1.63518e-01 ]
sbond_2_atomid[X,Y,Y]:  8.23730e-02 ; iterations: [ 8.23730e-02 ]

Attributes summed
atom_atomtype        :  4.52938e+00 ; iterations: [ 4.52938e+00 ]
sbond_1_atomid       :  1.39631e+00 ; iterations: [ 1.39631e+00 ]
atom_charge          :  1.19373e+00 ; iterations: [ 1.19373e+00 ]
atom_name            :  3.95826e-01 ; iterations: [ 3.95826e-01 ]
sbond_2_atomid       :  8.23730e-02 ; iterations: [ 8.23730e-02 ]

Aggregators
count                :  4.62020e+00 ; iterations: [ 4.62020e+00 ]
sum                  :  1.00634e+00 ; iterations: [ 1.00634e+00 ]
mode                 :  4.51916e-01 ; iterations: [ 4.51916e-01 ]
projection2_mode     :  4.39104e-01 ; iterations: [ 4.39104e-01 ]
min                  :  4.30618e-01 ; iterations: [ 4.30618e-01 ]
max                  :  3.83541e-01 ; iterations: [ 3.83541e-01 ]
projection0_mode     :  2.65896e-01 ; iterations: [ 2.65896e-01 ]

