Attributes
atom_atomtype[X,Y,Y] :  6.25224e+00 ; iterations: [ 6.25224e+00 ]
atom_charge[X,Y,Y]   :  7.27378e-01 ; iterations: [ 7.27378e-01 ]
sbond_1_atomid[X,Y,Y]:  3.82376e-01 ; iterations: [ 3.82376e-01 ]
atom_charge[Y,Y,Y]   :  1.99900e-01 ; iterations: [ 1.99900e-01 ]
atom_atomtype[Y,Y,Y] :  1.86746e-01 ; iterations: [ 1.86746e-01 ]
atom_name[X,Y,Y]     :  1.80925e-01 ; iterations: [ 1.80925e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.62755e-01 ; iterations: [ 1.62755e-01 ]
sbond_2_atomid[X,Y,Y]:  2.73786e-02 ; iterations: [ 2.73786e-02 ]
sbond_2_atomid[Y,Y,Y]:  1.14070e-02 ; iterations: [ 1.14070e-02 ]
sbond_7_atomid[Y,Y,Y]:  7.36961e-03 ; iterations: [ 7.36961e-03 ]

Attributes summed
atom_atomtype        :  6.43899e+00 ; iterations: [ 6.43899e+00 ]
atom_charge          :  9.27278e-01 ; iterations: [ 9.27278e-01 ]
sbond_1_atomid       :  5.45131e-01 ; iterations: [ 5.45131e-01 ]
atom_name            :  1.80925e-01 ; iterations: [ 1.80925e-01 ]
sbond_2_atomid       :  3.87856e-02 ; iterations: [ 3.87856e-02 ]
sbond_7_atomid       :  7.36961e-03 ; iterations: [ 7.36961e-03 ]

Aggregators
count                :  5.97918e+00 ; iterations: [ 5.97918e+00 ]
sum                  :  8.00140e-01 ; iterations: [ 8.00140e-01 ]
min                  :  5.19559e-01 ; iterations: [ 5.19559e-01 ]
mode                 :  3.82684e-01 ; iterations: [ 3.82684e-01 ]
projection2_mode     :  3.52857e-01 ; iterations: [ 3.52857e-01 ]
max                  :  8.52814e-02 ; iterations: [ 8.52814e-02 ]
projection0_mode     :  1.87766e-02 ; iterations: [ 1.87766e-02 ]

