Attributes
atom_atomtype[X,Y,Y] :  5.56694e+00 ; iterations: [ 5.56694e+00 ]
atom_charge[X,Y,Y]   :  1.55385e+00 ; iterations: [ 1.55385e+00 ]
atom_name[X,Y,Y]     :  5.81151e-01 ; iterations: [ 5.81151e-01 ]
sbond_1_atomid[X,Y,Y]:  5.29407e-01 ; iterations: [ 5.29407e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.40718e-01 ; iterations: [ 4.40718e-01 ]
atom_charge[Y,Y,Y]   :  4.39720e-01 ; iterations: [ 4.39720e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.20507e-01 ; iterations: [ 2.20507e-01 ]
atom_atomtype[Y,Y,Y] :  1.78977e-01 ; iterations: [ 1.78977e-01 ]
sbond_7_atomid[X,Y,Y]:  8.88889e-02 ; iterations: [ 8.88889e-02 ]
sbond_2_atomid[X,Y,Y]:  6.33984e-02 ; iterations: [ 6.33984e-02 ]
sbond_7_atomid[Y,Y,Y]:  5.65149e-02 ; iterations: [ 5.65149e-02 ]
atom_name[Y,Y,Y]     :  5.46107e-02 ; iterations: [ 5.46107e-02 ]

Attributes summed
atom_atomtype        :  5.74592e+00 ; iterations: [ 5.74592e+00 ]
atom_charge          :  1.99357e+00 ; iterations: [ 1.99357e+00 ]
sbond_1_atomid       :  9.70125e-01 ; iterations: [ 9.70125e-01 ]
atom_name            :  6.35762e-01 ; iterations: [ 6.35762e-01 ]
sbond_2_atomid       :  2.83906e-01 ; iterations: [ 2.83906e-01 ]
sbond_7_atomid       :  1.45404e-01 ; iterations: [ 1.45404e-01 ]

Aggregators
count                :  6.29287e+00 ; iterations: [ 6.29287e+00 ]
projection2_mode     :  8.34076e-01 ; iterations: [ 8.34076e-01 ]
min                  :  6.84588e-01 ; iterations: [ 6.84588e-01 ]
mode                 :  6.73308e-01 ; iterations: [ 6.73308e-01 ]
max                  :  5.58090e-01 ; iterations: [ 5.58090e-01 ]
sum                  :  4.71159e-01 ; iterations: [ 4.71159e-01 ]
projection0_mode     :  2.60597e-01 ; iterations: [ 2.60597e-01 ]

