Attributes
atom_atomtype[X,Y,Y] :  4.61438e+00 ; iterations: [ 4.61438e+00 ]
atom_name[X,Y,Y]     :  6.37633e-01 ; iterations: [ 6.37633e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.20577e-01 ; iterations: [ 4.20577e-01 ]
atom_charge[X,Y,Y]   :  4.02012e-01 ; iterations: [ 4.02012e-01 ]
sbond_2_atomid[X,Y,Y]:  1.91049e-01 ; iterations: [ 1.91049e-01 ]
atom_atomtype[Y,Y,Y] :  1.74265e-01 ; iterations: [ 1.74265e-01 ]
sbond_7_atomid[X,Y,Y]:  1.60000e-01 ; iterations: [ 1.60000e-01 ]
sbond_1_atomid[X,Y,Y]:  1.28218e-01 ; iterations: [ 1.28218e-01 ]
atom_charge[Y,Y,Y]   :  3.05091e-02 ; iterations: [ 3.05091e-02 ]
atom_name[Y,Y,Y]     :  1.67836e-02 ; iterations: [ 1.67836e-02 ]

Attributes summed
atom_atomtype        :  4.78864e+00 ; iterations: [ 4.78864e+00 ]
atom_name            :  6.54417e-01 ; iterations: [ 6.54417e-01 ]
sbond_1_atomid       :  5.48795e-01 ; iterations: [ 5.48795e-01 ]
atom_charge          :  4.32521e-01 ; iterations: [ 4.32521e-01 ]
sbond_2_atomid       :  1.91049e-01 ; iterations: [ 1.91049e-01 ]
sbond_7_atomid       :  1.60000e-01 ; iterations: [ 1.60000e-01 ]

Aggregators
count                :  3.82013e+00 ; iterations: [ 3.82013e+00 ]
sum                  :  9.08932e-01 ; iterations: [ 9.08932e-01 ]
projection2_mode     :  8.09072e-01 ; iterations: [ 8.09072e-01 ]
max                  :  6.08889e-01 ; iterations: [ 6.08889e-01 ]
min                  :  3.89559e-01 ; iterations: [ 3.89559e-01 ]
mode                 :  2.21558e-01 ; iterations: [ 2.21558e-01 ]
projection0_mode     :  1.72823e-02 ; iterations: [ 1.72823e-02 ]

