Attributes
atom_atomtype[X,Y,Y] :  3.73582e+00 ; iterations: [ 3.73582e+00 ]
atom_charge[X,Y,Y]   :  1.62471e+00 ; iterations: [ 1.62471e+00 ]
atom_charge[Y,Y,Y]   :  5.18503e-01 ; iterations: [ 5.18503e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.50076e-01 ; iterations: [ 4.50076e-01 ]
sbond_1_atomid[X,Y,Y]:  4.21304e-01 ; iterations: [ 4.21304e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.89276e-01 ; iterations: [ 3.89276e-01 ]
sbond_2_atomid[X,Y,Y]:  2.70408e-01 ; iterations: [ 2.70408e-01 ]
atom_atomtype[Y,Y,Y] :  2.04082e-01 ; iterations: [ 2.04082e-01 ]
atom_name[X,Y,Y]     :  2.01855e-01 ; iterations: [ 2.01855e-01 ]
atom_name[Y,Y,Y]     :  6.63265e-02 ; iterations: [ 6.63265e-02 ]
sbond_7_atomid[Y,Y,Y]:  9.45798e-03 ; iterations: [ 9.45798e-03 ]
sbond_7_atomid[X,Y,Y]:  6.76379e-03 ; iterations: [ 6.76379e-03 ]

Attributes summed
atom_atomtype        :  3.93990e+00 ; iterations: [ 3.93990e+00 ]
atom_charge          :  2.14321e+00 ; iterations: [ 2.14321e+00 ]
sbond_1_atomid       :  8.71380e-01 ; iterations: [ 8.71380e-01 ]
sbond_2_atomid       :  6.59684e-01 ; iterations: [ 6.59684e-01 ]
atom_name            :  2.68181e-01 ; iterations: [ 2.68181e-01 ]
sbond_7_atomid       :  1.62218e-02 ; iterations: [ 1.62218e-02 ]

Aggregators
count                :  4.39784e+00 ; iterations: [ 4.39784e+00 ]
sum                  :  9.20386e-01 ; iterations: [ 9.20386e-01 ]
mode                 :  8.23656e-01 ; iterations: [ 8.23656e-01 ]
projection2_mode     :  8.15958e-01 ; iterations: [ 8.15958e-01 ]
projection0_mode     :  5.58832e-01 ; iterations: [ 5.58832e-01 ]
min                  :  3.55011e-01 ; iterations: [ 3.55011e-01 ]
max                  :  2.68886e-02 ; iterations: [ 2.68886e-02 ]

