Attributes
atom_atomtype[X,Y,Y] :  5.26375e+00 ; iterations: [ 5.26375e+00 ]
sbond_1_atomid[Y,Y,Y]:  5.98782e-01 ; iterations: [ 5.98782e-01 ]
atom_charge[X,Y,Y]   :  4.31560e-01 ; iterations: [ 4.31560e-01 ]
sbond_1_atomid[X,Y,Y]:  4.04185e-01 ; iterations: [ 4.04185e-01 ]
atom_charge[Y,Y,Y]   :  3.46017e-01 ; iterations: [ 3.46017e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.72927e-01 ; iterations: [ 2.72927e-01 ]
atom_name[Y,Y,Y]     :  9.78181e-02 ; iterations: [ 9.78181e-02 ]
atom_name[X,Y,Y]     :  5.46514e-02 ; iterations: [ 5.46514e-02 ]
sbond_2_atomid[X,Y,Y]:  4.61360e-02 ; iterations: [ 4.61360e-02 ]
atom_atomtype[Y,Y,Y] :  1.78068e-02 ; iterations: [ 1.78068e-02 ]

Attributes summed
atom_atomtype        :  5.28155e+00 ; iterations: [ 5.28155e+00 ]
sbond_1_atomid       :  1.00297e+00 ; iterations: [ 1.00297e+00 ]
atom_charge          :  7.77577e-01 ; iterations: [ 7.77577e-01 ]
sbond_2_atomid       :  3.19063e-01 ; iterations: [ 3.19063e-01 ]
atom_name            :  1.52469e-01 ; iterations: [ 1.52469e-01 ]

Aggregators
count                :  4.27913e+00 ; iterations: [ 4.27913e+00 ]
projection2_mode     :  1.19811e+00 ; iterations: [ 1.19811e+00 ]
sum                  :  8.08189e-01 ; iterations: [ 8.08189e-01 ]
mode                 :  5.10539e-01 ; iterations: [ 5.10539e-01 ]
projection0_mode     :  3.48114e-01 ; iterations: [ 3.48114e-01 ]
min                  :  2.59512e-01 ; iterations: [ 2.59512e-01 ]
max                  :  1.30035e-01 ; iterations: [ 1.30035e-01 ]

