Attributes
atom_atomtype[X,Y,Y] :  4.71622e+00 ; iterations: [ 4.71622e+00 ]
sbond_1_atomid[X,Y,Y]:  7.63533e-01 ; iterations: [ 7.63533e-01 ]
atom_name[X,Y,Y]     :  6.95889e-01 ; iterations: [ 6.95889e-01 ]
atom_charge[X,Y,Y]   :  5.22676e-01 ; iterations: [ 5.22676e-01 ]
atom_charge[Y,Y,Y]   :  3.96434e-01 ; iterations: [ 3.96434e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.19653e-01 ; iterations: [ 3.19653e-01 ]
sbond_2_atomid[X,Y,Y]:  3.04650e-01 ; iterations: [ 3.04650e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.70449e-01 ; iterations: [ 2.70449e-01 ]
atom_atomtype[Y,Y,Y] :  2.24523e-01 ; iterations: [ 2.24523e-01 ]
sbond_3_atomid[Y,Y,Y]:  5.24691e-02 ; iterations: [ 5.24691e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.59535e-02 ; iterations: [ 2.59535e-02 ]
sbond_7_atomid[X,Y,Y]:  1.22222e-02 ; iterations: [ 1.22222e-02 ]

Attributes summed
atom_atomtype        :  4.94074e+00 ; iterations: [ 4.94074e+00 ]
sbond_1_atomid       :  1.08319e+00 ; iterations: [ 1.08319e+00 ]
atom_charge          :  9.19110e-01 ; iterations: [ 9.19110e-01 ]
atom_name            :  6.95889e-01 ; iterations: [ 6.95889e-01 ]
sbond_2_atomid       :  5.75100e-01 ; iterations: [ 5.75100e-01 ]
sbond_3_atomid       :  5.24691e-02 ; iterations: [ 5.24691e-02 ]
sbond_7_atomid       :  3.81758e-02 ; iterations: [ 3.81758e-02 ]

Aggregators
count                :  5.28337e+00 ; iterations: [ 5.28337e+00 ]
projection2_mode     :  9.53852e-01 ; iterations: [ 9.53852e-01 ]
sum                  :  8.66584e-01 ; iterations: [ 8.66584e-01 ]
mode                 :  6.20957e-01 ; iterations: [ 6.20957e-01 ]
projection0_mode     :  4.00387e-01 ; iterations: [ 4.00387e-01 ]
max                  :  1.38889e-01 ; iterations: [ 1.38889e-01 ]
min                  :  4.06288e-02 ; iterations: [ 4.06288e-02 ]

