Attributes
atom_atomtype[X,Y,Y] :  6.26976e+00 ; iterations: [ 6.26976e+00 ]
sbond_1_atomid[Y,Y,Y]:  6.82338e-01 ; iterations: [ 6.82338e-01 ]
atom_name[X,Y,Y]     :  5.53749e-01 ; iterations: [ 5.53749e-01 ]
atom_charge[X,Y,Y]   :  5.22676e-01 ; iterations: [ 5.22676e-01 ]
atom_charge[Y,Y,Y]   :  2.65226e-01 ; iterations: [ 2.65226e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.32780e-01 ; iterations: [ 1.32780e-01 ]
atom_atomtype[Y,Y,Y] :  1.14017e-01 ; iterations: [ 1.14017e-01 ]
sbond_1_atomid[X,Y,Y]:  1.07666e-01 ; iterations: [ 1.07666e-01 ]
sbond_7_atomid[X,Y,Y]:  5.96588e-02 ; iterations: [ 5.96588e-02 ]
sbond_2_atomid[X,Y,Y]:  1.05173e-02 ; iterations: [ 1.05173e-02 ]
atom_name[Y,Y,Y]     :  2.00172e-03 ; iterations: [ 2.00172e-03 ]

Attributes summed
atom_atomtype        :  6.38378e+00 ; iterations: [ 6.38378e+00 ]
sbond_1_atomid       :  7.90004e-01 ; iterations: [ 7.90004e-01 ]
atom_charge          :  7.87902e-01 ; iterations: [ 7.87902e-01 ]
atom_name            :  5.55751e-01 ; iterations: [ 5.55751e-01 ]
sbond_2_atomid       :  1.43298e-01 ; iterations: [ 1.43298e-01 ]
sbond_7_atomid       :  5.96588e-02 ; iterations: [ 5.96588e-02 ]

Aggregators
count                :  4.64705e+00 ; iterations: [ 4.64705e+00 ]
projection2_mode     :  1.95938e+00 ; iterations: [ 1.95938e+00 ]
sum                  :  7.23978e-01 ; iterations: [ 7.23978e-01 ]
min                  :  5.52682e-01 ; iterations: [ 5.52682e-01 ]
max                  :  3.85476e-01 ; iterations: [ 3.85476e-01 ]
mode                 :  3.37404e-01 ; iterations: [ 3.37404e-01 ]
projection0_mode     :  1.14423e-01 ; iterations: [ 1.14423e-01 ]

