Attributes
atom_atomtype[X,Y,Y] :  4.86193e+00 ; iterations: [ 4.86193e+00 ]
atom_charge[X,Y,Y]   :  9.57187e-01 ; iterations: [ 9.57187e-01 ]
atom_charge[Y,Y,Y]   :  6.60347e-01 ; iterations: [ 6.60347e-01 ]
atom_name[X,Y,Y]     :  5.88584e-01 ; iterations: [ 5.88584e-01 ]
sbond_1_atomid[X,Y,Y]:  4.56322e-01 ; iterations: [ 4.56322e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.37758e-01 ; iterations: [ 2.37758e-01 ]
atom_name[Y,Y,Y]     :  2.02716e-01 ; iterations: [ 2.02716e-01 ]
atom_atomtype[Y,Y,Y] :  1.64710e-01 ; iterations: [ 1.64710e-01 ]
sbond_7_atomid[X,Y,Y]:  1.06879e-01 ; iterations: [ 1.06879e-01 ]
sbond_2_atomid[Y,Y,Y]:  9.76704e-02 ; iterations: [ 9.76704e-02 ]
sbond_7_atomid[Y,Y,Y]:  5.78727e-02 ; iterations: [ 5.78727e-02 ]
sbond_2_atomid[X,Y,Y]:  2.83594e-02 ; iterations: [ 2.83594e-02 ]

Attributes summed
atom_atomtype        :  5.02664e+00 ; iterations: [ 5.02664e+00 ]
atom_charge          :  1.61753e+00 ; iterations: [ 1.61753e+00 ]
atom_name            :  7.91300e-01 ; iterations: [ 7.91300e-01 ]
sbond_1_atomid       :  6.94080e-01 ; iterations: [ 6.94080e-01 ]
sbond_7_atomid       :  1.64751e-01 ; iterations: [ 1.64751e-01 ]
sbond_2_atomid       :  1.26030e-01 ; iterations: [ 1.26030e-01 ]

Aggregators
count                :  4.47082e+00 ; iterations: [ 4.47082e+00 ]
projection2_mode     :  1.39640e+00 ; iterations: [ 1.39640e+00 ]
mode                 :  1.02777e+00 ; iterations: [ 1.02777e+00 ]
max                  :  5.05665e-01 ; iterations: [ 5.05665e-01 ]
min                  :  4.36253e-01 ; iterations: [ 4.36253e-01 ]
sum                  :  4.27880e-01 ; iterations: [ 4.27880e-01 ]
projection0_mode     :  1.55543e-01 ; iterations: [ 1.55543e-01 ]

