Attributes
atom_atomtype[X,Y,Y] :  5.52730e+00 ; iterations: [ 5.52730e+00 ]
atom_charge[X,Y,Y]   :  9.47800e-01 ; iterations: [ 9.47800e-01 ]
sbond_2_atomid[Y,Y,Y]:  5.88919e-01 ; iterations: [ 5.88919e-01 ]
atom_charge[Y,Y,Y]   :  3.09156e-01 ; iterations: [ 3.09156e-01 ]
sbond_1_atomid[X,Y,Y]:  2.24964e-01 ; iterations: [ 2.24964e-01 ]
sbond_2_atomid[X,Y,Y]:  1.57982e-01 ; iterations: [ 1.57982e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.40106e-01 ; iterations: [ 1.40106e-01 ]
atom_atomtype[Y,Y,Y] :  1.17309e-01 ; iterations: [ 1.17309e-01 ]
atom_name[X,Y,Y]     :  1.15741e-01 ; iterations: [ 1.15741e-01 ]
atom_name[Y,Y,Y]     :  3.17846e-02 ; iterations: [ 3.17846e-02 ]
sbond_7_atomid[X,Y,Y]:  5.75279e-03 ; iterations: [ 5.75279e-03 ]

Attributes summed
atom_atomtype        :  5.64461e+00 ; iterations: [ 5.64461e+00 ]
atom_charge          :  1.25696e+00 ; iterations: [ 1.25696e+00 ]
sbond_2_atomid       :  7.46901e-01 ; iterations: [ 7.46901e-01 ]
sbond_1_atomid       :  3.65070e-01 ; iterations: [ 3.65070e-01 ]
atom_name            :  1.47525e-01 ; iterations: [ 1.47525e-01 ]
sbond_7_atomid       :  5.75279e-03 ; iterations: [ 5.75279e-03 ]

Aggregators
count                :  4.95853e+00 ; iterations: [ 4.95853e+00 ]
max                  :  7.76286e-01 ; iterations: [ 7.76286e-01 ]
projection0_mode     :  5.90892e-01 ; iterations: [ 5.90892e-01 ]
mode                 :  5.77854e-01 ; iterations: [ 5.77854e-01 ]
projection2_mode     :  5.21573e-01 ; iterations: [ 5.21573e-01 ]
sum                  :  3.89486e-01 ; iterations: [ 3.89486e-01 ]
min                  :  3.52191e-01 ; iterations: [ 3.52191e-01 ]

