Attributes
atom_atomtype[X,Y,Y] :  5.60702e+00 ; iterations: [ 5.60702e+00 ]
atom_charge[X,Y,Y]   :  7.55162e-01 ; iterations: [ 7.55162e-01 ]
atom_name[X,Y,Y]     :  5.47290e-01 ; iterations: [ 5.47290e-01 ]
sbond_1_atomid[X,Y,Y]:  2.51473e-01 ; iterations: [ 2.51473e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.47917e-01 ; iterations: [ 2.47917e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.38786e-01 ; iterations: [ 2.38786e-01 ]
atom_charge[Y,Y,Y]   :  1.75919e-01 ; iterations: [ 1.75919e-01 ]
sbond_2_atomid[X,Y,Y]:  1.12857e-01 ; iterations: [ 1.12857e-01 ]
atom_name[Y,Y,Y]     :  5.21461e-02 ; iterations: [ 5.21461e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.88884e-02 ; iterations: [ 4.88884e-02 ]

Attributes summed
atom_atomtype        :  5.60702e+00 ; iterations: [ 5.60702e+00 ]
atom_charge          :  9.31082e-01 ; iterations: [ 9.31082e-01 ]
atom_name            :  5.99436e-01 ; iterations: [ 5.99436e-01 ]
sbond_1_atomid       :  4.90259e-01 ; iterations: [ 4.90259e-01 ]
sbond_2_atomid       :  3.60774e-01 ; iterations: [ 3.60774e-01 ]
sbond_7_atomid       :  4.88884e-02 ; iterations: [ 4.88884e-02 ]

Aggregators
count                :  5.23201e+00 ; iterations: [ 5.23201e+00 ]
sum                  :  1.13251e+00 ; iterations: [ 1.13251e+00 ]
projection2_mode     :  5.90356e-01 ; iterations: [ 5.90356e-01 ]
min                  :  4.80799e-01 ; iterations: [ 4.80799e-01 ]
mode                 :  3.76700e-01 ; iterations: [ 3.76700e-01 ]
projection0_mode     :  1.35088e-01 ; iterations: [ 1.35088e-01 ]
max                  :  9.00000e-02 ; iterations: [ 9.00000e-02 ]

