Attributes
atom_atomtype[X,Y,Y] :  6.58814e+00 ; iterations: [ 6.58814e+00 ]
atom_charge[Y,Y,Y]   :  4.40483e-01 ; iterations: [ 4.40483e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.39984e-01 ; iterations: [ 3.39984e-01 ]
atom_charge[X,Y,Y]   :  2.77985e-01 ; iterations: [ 2.77985e-01 ]
sbond_1_atomid[X,Y,Y]:  2.52440e-01 ; iterations: [ 2.52440e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.31900e-01 ; iterations: [ 2.31900e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.72906e-01 ; iterations: [ 1.72906e-01 ]
sbond_2_atomid[X,Y,Y]:  1.26357e-01 ; iterations: [ 1.26357e-01 ]
atom_atomtype[Y,Y,Y] :  1.07921e-01 ; iterations: [ 1.07921e-01 ]
atom_name[X,Y,Y]     :  8.92850e-02 ; iterations: [ 8.92850e-02 ]
sbond_7_atomid[X,Y,Y]:  4.82234e-02 ; iterations: [ 4.82234e-02 ]

Attributes summed
atom_atomtype        :  6.69606e+00 ; iterations: [ 6.69606e+00 ]
atom_charge          :  7.18468e-01 ; iterations: [ 7.18468e-01 ]
sbond_1_atomid       :  5.92424e-01 ; iterations: [ 5.92424e-01 ]
sbond_2_atomid       :  3.58257e-01 ; iterations: [ 3.58257e-01 ]
sbond_7_atomid       :  2.21129e-01 ; iterations: [ 2.21129e-01 ]
atom_name            :  8.92850e-02 ; iterations: [ 8.92850e-02 ]

Aggregators
count                :  4.88635e+00 ; iterations: [ 4.88635e+00 ]
sum                  :  1.14004e+00 ; iterations: [ 1.14004e+00 ]
max                  :  9.39134e-01 ; iterations: [ 9.39134e-01 ]
mode                 :  5.79026e-01 ; iterations: [ 5.79026e-01 ]
projection2_mode     :  5.48404e-01 ; iterations: [ 5.48404e-01 ]
projection0_mode     :  4.43002e-01 ; iterations: [ 4.43002e-01 ]
min                  :  1.39667e-01 ; iterations: [ 1.39667e-01 ]

