Attributes
atom_atomtype[X,Y,Y] :  5.66764e+00 ; iterations: [ 5.66764e+00 ]
atom_charge[X,Y,Y]   :  8.51907e-01 ; iterations: [ 8.51907e-01 ]
atom_name[X,Y,Y]     :  6.37970e-01 ; iterations: [ 6.37970e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.70429e-01 ; iterations: [ 3.70429e-01 ]
atom_charge[Y,Y,Y]   :  3.01503e-01 ; iterations: [ 3.01503e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.74745e-01 ; iterations: [ 2.74745e-01 ]
sbond_1_atomid[X,Y,Y]:  9.71794e-02 ; iterations: [ 9.71794e-02 ]
sbond_2_atomid[X,Y,Y]:  7.63950e-02 ; iterations: [ 7.63950e-02 ]
sbond_2_atomid[Y,Y,Y]:  6.93727e-02 ; iterations: [ 6.93727e-02 ]
atom_name[Y,Y,Y]     :  3.07580e-02 ; iterations: [ 3.07580e-02 ]
atom_atomtype[Y,Y,Y] :  2.40620e-02 ; iterations: [ 2.40620e-02 ]

Attributes summed
atom_atomtype        :  5.69170e+00 ; iterations: [ 5.69170e+00 ]
atom_charge          :  1.15341e+00 ; iterations: [ 1.15341e+00 ]
atom_name            :  6.68728e-01 ; iterations: [ 6.68728e-01 ]
sbond_1_atomid       :  4.67608e-01 ; iterations: [ 4.67608e-01 ]
sbond_7_atomid       :  2.74745e-01 ; iterations: [ 2.74745e-01 ]
sbond_2_atomid       :  1.45768e-01 ; iterations: [ 1.45768e-01 ]

Aggregators
count                :  5.35647e+00 ; iterations: [ 5.35647e+00 ]
sum                  :  1.42329e+00 ; iterations: [ 1.42329e+00 ]
max                  :  5.61832e-01 ; iterations: [ 5.61832e-01 ]
mode                 :  4.28978e-01 ; iterations: [ 4.28978e-01 ]
projection2_mode     :  3.56323e-01 ; iterations: [ 3.56323e-01 ]
projection0_mode     :  2.42776e-01 ; iterations: [ 2.42776e-01 ]
min                  :  3.22970e-02 ; iterations: [ 3.22970e-02 ]

