Attributes
atom_atomtype[X,Y,Y] :  5.75880e+00 ; iterations: [ 5.75880e+00 ]
atom_charge[X,Y,Y]   :  5.15057e-01 ; iterations: [ 5.15057e-01 ]
sbond_1_atomid[X,Y,Y]:  5.14099e-01 ; iterations: [ 5.14099e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.94063e-01 ; iterations: [ 2.94063e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.63117e-01 ; iterations: [ 2.63117e-01 ]
atom_name[X,Y,Y]     :  1.75293e-01 ; iterations: [ 1.75293e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.50417e-01 ; iterations: [ 1.50417e-01 ]
sbond_2_atomid[X,Y,Y]:  1.46196e-01 ; iterations: [ 1.46196e-01 ]
atom_charge[Y,Y,Y]   :  1.37400e-01 ; iterations: [ 1.37400e-01 ]
atom_name[Y,Y,Y]     :  1.27009e-01 ; iterations: [ 1.27009e-01 ]
sbond_3_atomid[Y,Y,Y]:  1.22449e-01 ; iterations: [ 1.22449e-01 ]
atom_atomtype[Y,Y,Y] :  1.17144e-01 ; iterations: [ 1.17144e-01 ]

Attributes summed
atom_atomtype        :  5.87594e+00 ; iterations: [ 5.87594e+00 ]
sbond_1_atomid       :  8.08161e-01 ; iterations: [ 8.08161e-01 ]
atom_charge          :  6.52457e-01 ; iterations: [ 6.52457e-01 ]
sbond_2_atomid       :  4.09313e-01 ; iterations: [ 4.09313e-01 ]
atom_name            :  3.02302e-01 ; iterations: [ 3.02302e-01 ]
sbond_7_atomid       :  1.50417e-01 ; iterations: [ 1.50417e-01 ]
sbond_3_atomid       :  1.22449e-01 ; iterations: [ 1.22449e-01 ]

Aggregators
count                :  5.05381e+00 ; iterations: [ 5.05381e+00 ]
sum                  :  9.30310e-01 ; iterations: [ 9.30310e-01 ]
projection2_mode     :  8.69197e-01 ; iterations: [ 8.69197e-01 ]
projection0_mode     :  6.06989e-01 ; iterations: [ 6.06989e-01 ]
mode                 :  3.80203e-01 ; iterations: [ 3.80203e-01 ]
max                  :  2.97677e-01 ; iterations: [ 2.97677e-01 ]
min                  :  1.82851e-01 ; iterations: [ 1.82851e-01 ]

