Attributes
atom_atomtype[X,Y,Y] :  3.55689e+00 ; iterations: [ 3.55689e+00 ]
atom_charge[X,Y,Y]   :  9.61867e-01 ; iterations: [ 9.61867e-01 ]
atom_charge[Y,Y,Y]   :  5.52545e-01 ; iterations: [ 5.52545e-01 ]
sbond_1_atomid[X,Y,Y]:  5.42321e-01 ; iterations: [ 5.42321e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.92617e-01 ; iterations: [ 2.92617e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.92403e-01 ; iterations: [ 2.92403e-01 ]
sbond_2_atomid[X,Y,Y]:  2.47898e-01 ; iterations: [ 2.47898e-01 ]
atom_name[Y,Y,Y]     :  2.05556e-01 ; iterations: [ 2.05556e-01 ]
atom_name[X,Y,Y]     :  1.46321e-01 ; iterations: [ 1.46321e-01 ]
atom_atomtype[Y,Y,Y] :  8.33333e-02 ; iterations: [ 8.33333e-02 ]
sbond_7_atomid[X,Y,Y]:  2.58857e-02 ; iterations: [ 2.58857e-02 ]
sbond_7_atomid[Y,Y,Y]:  9.15761e-03 ; iterations: [ 9.15761e-03 ]

Attributes summed
atom_atomtype        :  3.64022e+00 ; iterations: [ 3.64022e+00 ]
atom_charge          :  1.51441e+00 ; iterations: [ 1.51441e+00 ]
sbond_1_atomid       :  8.34938e-01 ; iterations: [ 8.34938e-01 ]
sbond_2_atomid       :  5.40301e-01 ; iterations: [ 5.40301e-01 ]
atom_name            :  3.51877e-01 ; iterations: [ 3.51877e-01 ]
sbond_7_atomid       :  3.50433e-02 ; iterations: [ 3.50433e-02 ]

Aggregators
count                :  3.40845e+00 ; iterations: [ 3.40845e+00 ]
mode                 :  9.26118e-01 ; iterations: [ 9.26118e-01 ]
projection2_mode     :  8.51851e-01 ; iterations: [ 8.51851e-01 ]
sum                  :  6.51605e-01 ; iterations: [ 6.51605e-01 ]
min                  :  4.75556e-01 ; iterations: [ 4.75556e-01 ]
max                  :  3.19668e-01 ; iterations: [ 3.19668e-01 ]
projection0_mode     :  2.83541e-01 ; iterations: [ 2.83541e-01 ]

