Attributes
atom_atomtype[X,Y,Y] :  6.33329e+00 ; iterations: [ 6.33329e+00 ]
sbond_1_atomid[X,Y,Y]:  5.73022e-01 ; iterations: [ 5.73022e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.01964e-01 ; iterations: [ 5.01964e-01 ]
atom_charge[Y,Y,Y]   :  4.06167e-01 ; iterations: [ 4.06167e-01 ]
sbond_7_atomid[X,Y,Y]:  3.91087e-01 ; iterations: [ 3.91087e-01 ]
atom_charge[X,Y,Y]   :  3.14474e-01 ; iterations: [ 3.14474e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.46094e-01 ; iterations: [ 2.46094e-01 ]
atom_atomtype[Y,Y,Y] :  2.05253e-01 ; iterations: [ 2.05253e-01 ]
atom_name[X,Y,Y]     :  1.61268e-01 ; iterations: [ 1.61268e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.08948e-01 ; iterations: [ 1.08948e-01 ]
atom_name[Y,Y,Y]     :  1.36625e-02 ; iterations: [ 1.36625e-02 ]
sbond_3_atomid[Y,Y,Y]:  1.35647e-02 ; iterations: [ 1.35647e-02 ]
sbond_2_atomid[X,Y,Y]:  6.90617e-03 ; iterations: [ 6.90617e-03 ]

Attributes summed
atom_atomtype        :  6.53854e+00 ; iterations: [ 6.53854e+00 ]
sbond_1_atomid       :  1.07499e+00 ; iterations: [ 1.07499e+00 ]
atom_charge          :  7.20641e-01 ; iterations: [ 7.20641e-01 ]
sbond_7_atomid       :  6.37181e-01 ; iterations: [ 6.37181e-01 ]
atom_name            :  1.74930e-01 ; iterations: [ 1.74930e-01 ]
sbond_2_atomid       :  1.15855e-01 ; iterations: [ 1.15855e-01 ]
sbond_3_atomid       :  1.35647e-02 ; iterations: [ 1.35647e-02 ]

Aggregators
count                :  5.11596e+00 ; iterations: [ 5.11596e+00 ]
projection2_mode     :  1.37012e+00 ; iterations: [ 1.37012e+00 ]
sum                  :  1.19599e+00 ; iterations: [ 1.19599e+00 ]
min                  :  9.21929e-01 ; iterations: [ 9.21929e-01 ]
mode                 :  4.50695e-01 ; iterations: [ 4.50695e-01 ]
projection0_mode     :  1.12165e-01 ; iterations: [ 1.12165e-01 ]
max                  :  1.08844e-01 ; iterations: [ 1.08844e-01 ]

