Attributes
atom_atomtype[X,Y,Y] :  5.69294e+00 ; iterations: [ 5.69294e+00 ]
atom_charge[X,Y,Y]   :  9.80122e-01 ; iterations: [ 9.80122e-01 ]
sbond_7_atomid[Y,Y,Y]:  4.90422e-01 ; iterations: [ 4.90422e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.00139e-01 ; iterations: [ 4.00139e-01 ]
atom_atomtype[Y,Y,Y] :  3.48596e-01 ; iterations: [ 3.48596e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.12675e-01 ; iterations: [ 3.12675e-01 ]
sbond_2_atomid[X,Y,Y]:  3.12509e-01 ; iterations: [ 3.12509e-01 ]
sbond_1_atomid[X,Y,Y]:  2.71200e-01 ; iterations: [ 2.71200e-01 ]
atom_name[X,Y,Y]     :  2.50820e-01 ; iterations: [ 2.50820e-01 ]
atom_charge[Y,Y,Y]   :  1.85983e-01 ; iterations: [ 1.85983e-01 ]
atom_name[Y,Y,Y]     :  1.60737e-01 ; iterations: [ 1.60737e-01 ]
sbond_7_atomid[X,Y,Y]:  4.65171e-03 ; iterations: [ 4.65171e-03 ]

Attributes summed
atom_atomtype        :  6.04154e+00 ; iterations: [ 6.04154e+00 ]
atom_charge          :  1.16610e+00 ; iterations: [ 1.16610e+00 ]
sbond_1_atomid       :  6.71339e-01 ; iterations: [ 6.71339e-01 ]
sbond_2_atomid       :  6.25184e-01 ; iterations: [ 6.25184e-01 ]
sbond_7_atomid       :  4.95074e-01 ; iterations: [ 4.95074e-01 ]
atom_name            :  4.11557e-01 ; iterations: [ 4.11557e-01 ]

Aggregators
count                :  5.74323e+00 ; iterations: [ 5.74323e+00 ]
projection0_mode     :  7.93744e-01 ; iterations: [ 7.93744e-01 ]
projection2_mode     :  6.70798e-01 ; iterations: [ 6.70798e-01 ]
max                  :  6.27315e-01 ; iterations: [ 6.27315e-01 ]
mode                 :  6.21213e-01 ; iterations: [ 6.21213e-01 ]
min                  :  5.57074e-01 ; iterations: [ 5.57074e-01 ]
sum                  :  3.97424e-01 ; iterations: [ 3.97424e-01 ]

