Attributes
atom_atomtype[X,Y,Y] :  6.84907e+00 ; iterations: [ 6.84907e+00 ]
atom_charge[X,Y,Y]   :  9.04841e-01 ; iterations: [ 9.04841e-01 ]
atom_name[X,Y,Y]     :  6.12901e-01 ; iterations: [ 6.12901e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.37894e-01 ; iterations: [ 3.37894e-01 ]
atom_charge[Y,Y,Y]   :  2.33450e-01 ; iterations: [ 2.33450e-01 ]
sbond_1_atomid[X,Y,Y]:  1.92835e-01 ; iterations: [ 1.92835e-01 ]
sbond_2_atomid[X,Y,Y]:  3.19803e-02 ; iterations: [ 3.19803e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.17428e-02 ; iterations: [ 3.17428e-02 ]
atom_name[Y,Y,Y]     :  1.38745e-02 ; iterations: [ 1.38745e-02 ]
atom_atomtype[Y,Y,Y] :  1.16484e-02 ; iterations: [ 1.16484e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.63300e-03 ; iterations: [ 2.63300e-03 ]

Attributes summed
atom_atomtype        :  6.86072e+00 ; iterations: [ 6.86072e+00 ]
atom_charge          :  1.13829e+00 ; iterations: [ 1.13829e+00 ]
atom_name            :  6.26775e-01 ; iterations: [ 6.26775e-01 ]
sbond_1_atomid       :  5.30730e-01 ; iterations: [ 5.30730e-01 ]
sbond_2_atomid       :  6.37231e-02 ; iterations: [ 6.37231e-02 ]
sbond_7_atomid       :  2.63300e-03 ; iterations: [ 2.63300e-03 ]

Aggregators
count                :  5.72690e+00 ; iterations: [ 5.72690e+00 ]
sum                  :  1.19608e+00 ; iterations: [ 1.19608e+00 ]
projection2_mode     :  1.10844e+00 ; iterations: [ 1.10844e+00 ]
max                  :  5.43003e-01 ; iterations: [ 5.43003e-01 ]
min                  :  3.55237e-01 ; iterations: [ 3.55237e-01 ]
mode                 :  2.90581e-01 ; iterations: [ 2.90581e-01 ]
projection0_mode     :  2.63300e-03 ; iterations: [ 2.63300e-03 ]

