Attributes
atom_atomtype[X,Y,Y] :  3.25113e+00 ; iterations: [ 3.25113e+00 ]
atom_charge[X,Y,Y]   :  7.15587e-01 ; iterations: [ 7.15587e-01 ]
atom_name[X,Y,Y]     :  4.55714e-01 ; iterations: [ 4.55714e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.96535e-01 ; iterations: [ 3.96535e-01 ]
sbond_1_atomid[X,Y,Y]:  3.66098e-01 ; iterations: [ 3.66098e-01 ]
atom_charge[Y,Y,Y]   :  3.30868e-01 ; iterations: [ 3.30868e-01 ]
atom_atomtype[Y,Y,Y] :  2.92759e-01 ; iterations: [ 2.92759e-01 ]
atom_name[Y,Y,Y]     :  2.70218e-01 ; iterations: [ 2.70218e-01 ]
sbond_2_atomid[X,Y,Y]:  2.50068e-01 ; iterations: [ 2.50068e-01 ]
sbond_7_atomid[Y,Y,Y]:  7.11111e-02 ; iterations: [ 7.11111e-02 ]
sbond_3_atomid[Y,Y,Y]:  4.86592e-02 ; iterations: [ 4.86592e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.54160e-02 ; iterations: [ 3.54160e-02 ]
sbond_7_atomid[X,Y,Y]:  3.06637e-02 ; iterations: [ 3.06637e-02 ]

Attributes summed
atom_atomtype        :  3.54389e+00 ; iterations: [ 3.54389e+00 ]
atom_charge          :  1.04645e+00 ; iterations: [ 1.04645e+00 ]
sbond_1_atomid       :  7.62632e-01 ; iterations: [ 7.62632e-01 ]
atom_name            :  7.25931e-01 ; iterations: [ 7.25931e-01 ]
sbond_2_atomid       :  2.85484e-01 ; iterations: [ 2.85484e-01 ]
sbond_7_atomid       :  1.01775e-01 ; iterations: [ 1.01775e-01 ]
sbond_3_atomid       :  4.86592e-02 ; iterations: [ 4.86592e-02 ]

Aggregators
count                :  3.08699e+00 ; iterations: [ 3.08699e+00 ]
projection2_mode     :  1.37522e+00 ; iterations: [ 1.37522e+00 ]
mode                 :  8.21066e-01 ; iterations: [ 8.21066e-01 ]
sum                  :  4.01113e-01 ; iterations: [ 4.01113e-01 ]
min                  :  3.61396e-01 ; iterations: [ 3.61396e-01 ]
max                  :  3.13860e-01 ; iterations: [ 3.13860e-01 ]
projection0_mode     :  1.55186e-01 ; iterations: [ 1.55186e-01 ]

