Attributes
atom_atomtype[X,Y,Y] :  4.27789e+00 ; iterations: [ 4.27789e+00 ]
sbond_1_atomid[X,Y,Y]:  6.41425e-01 ; iterations: [ 6.41425e-01 ]
atom_atomtype[Y,Y,Y] :  5.30976e-01 ; iterations: [ 5.30976e-01 ]
atom_charge[Y,Y,Y]   :  3.58534e-01 ; iterations: [ 3.58534e-01 ]
atom_name[X,Y,Y]     :  3.47083e-01 ; iterations: [ 3.47083e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.39382e-01 ; iterations: [ 3.39382e-01 ]
atom_charge[X,Y,Y]   :  3.34022e-01 ; iterations: [ 3.34022e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.09117e-01 ; iterations: [ 3.09117e-01 ]
sbond_2_atomid[X,Y,Y]:  2.95501e-01 ; iterations: [ 2.95501e-01 ]
sbond_7_atomid[X,Y,Y]:  4.44823e-02 ; iterations: [ 4.44823e-02 ]
atom_name[Y,Y,Y]     :  1.66667e-02 ; iterations: [ 1.66667e-02 ]

Attributes summed
atom_atomtype        :  4.80886e+00 ; iterations: [ 4.80886e+00 ]
sbond_1_atomid       :  9.80807e-01 ; iterations: [ 9.80807e-01 ]
atom_charge          :  6.92555e-01 ; iterations: [ 6.92555e-01 ]
sbond_2_atomid       :  6.04618e-01 ; iterations: [ 6.04618e-01 ]
atom_name            :  3.63750e-01 ; iterations: [ 3.63750e-01 ]
sbond_7_atomid       :  4.44823e-02 ; iterations: [ 4.44823e-02 ]

Aggregators
count                :  4.49151e+00 ; iterations: [ 4.49151e+00 ]
projection2_mode     :  8.86631e-01 ; iterations: [ 8.86631e-01 ]
mode                 :  8.35171e-01 ; iterations: [ 8.35171e-01 ]
sum                  :  5.81435e-01 ; iterations: [ 5.81435e-01 ]
projection0_mode     :  3.31713e-01 ; iterations: [ 3.31713e-01 ]
min                  :  2.87217e-01 ; iterations: [ 2.87217e-01 ]
max                  :  8.13937e-02 ; iterations: [ 8.13937e-02 ]

