Attributes
atom_atomtype[X,Y,Y] :  6.23562e+00 ; iterations: [ 6.23562e+00 ]
sbond_1_atomid[X,Y,Y]:  7.15963e-01 ; iterations: [ 7.15963e-01 ]
sbond_1_atomid[Y,Y,Y]:  6.25349e-01 ; iterations: [ 6.25349e-01 ]
atom_name[X,Y,Y]     :  5.69520e-01 ; iterations: [ 5.69520e-01 ]
atom_charge[Y,Y,Y]   :  5.26373e-01 ; iterations: [ 5.26373e-01 ]
atom_charge[X,Y,Y]   :  4.11159e-01 ; iterations: [ 4.11159e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.59793e-01 ; iterations: [ 2.59793e-01 ]
atom_name[Y,Y,Y]     :  1.87500e-01 ; iterations: [ 1.87500e-01 ]
sbond_2_atomid[X,Y,Y]:  1.33173e-01 ; iterations: [ 1.33173e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.12006e-01 ; iterations: [ 1.12006e-01 ]
sbond_7_atomid[X,Y,Y]:  1.08844e-01 ; iterations: [ 1.08844e-01 ]
atom_atomtype[Y,Y,Y] :  3.42827e-02 ; iterations: [ 3.42827e-02 ]

Attributes summed
atom_atomtype        :  6.26991e+00 ; iterations: [ 6.26991e+00 ]
sbond_1_atomid       :  1.34131e+00 ; iterations: [ 1.34131e+00 ]
atom_charge          :  9.37533e-01 ; iterations: [ 9.37533e-01 ]
atom_name            :  7.57020e-01 ; iterations: [ 7.57020e-01 ]
sbond_2_atomid       :  3.92966e-01 ; iterations: [ 3.92966e-01 ]
sbond_7_atomid       :  2.20849e-01 ; iterations: [ 2.20849e-01 ]

Aggregators
count                :  4.51983e+00 ; iterations: [ 4.51983e+00 ]
projection2_mode     :  2.69038e+00 ; iterations: [ 2.69038e+00 ]
sum                  :  8.52436e-01 ; iterations: [ 8.52436e-01 ]
mode                 :  7.48156e-01 ; iterations: [ 7.48156e-01 ]
max                  :  5.17932e-01 ; iterations: [ 5.17932e-01 ]
min                  :  3.44633e-01 ; iterations: [ 3.44633e-01 ]
projection0_mode     :  2.46220e-01 ; iterations: [ 2.46220e-01 ]

