Attributes
atom_atomtype[X,Y,Y] :  3.93718e+00 ; iterations: [ 3.93718e+00 ]
atom_charge[X,Y,Y]   :  1.69508e+00 ; iterations: [ 1.69508e+00 ]
sbond_1_atomid[Y,Y,Y]:  8.87921e-01 ; iterations: [ 8.87921e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.50158e-01 ; iterations: [ 3.50158e-01 ]
sbond_1_atomid[X,Y,Y]:  2.92591e-01 ; iterations: [ 2.92591e-01 ]
atom_charge[Y,Y,Y]   :  1.54179e-01 ; iterations: [ 1.54179e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.44343e-01 ; iterations: [ 1.44343e-01 ]
sbond_2_atomid[X,Y,Y]:  6.10751e-02 ; iterations: [ 6.10751e-02 ]
atom_atomtype[Y,Y,Y] :  3.79410e-02 ; iterations: [ 3.79410e-02 ]

Attributes summed
atom_atomtype        :  3.97512e+00 ; iterations: [ 3.97512e+00 ]
atom_charge          :  1.84925e+00 ; iterations: [ 1.84925e+00 ]
sbond_1_atomid       :  1.18051e+00 ; iterations: [ 1.18051e+00 ]
sbond_2_atomid       :  4.11233e-01 ; iterations: [ 4.11233e-01 ]
sbond_7_atomid       :  1.44343e-01 ; iterations: [ 1.44343e-01 ]

Aggregators
count                :  4.10489e+00 ; iterations: [ 4.10489e+00 ]
sum                  :  1.19462e+00 ; iterations: [ 1.19462e+00 ]
projection0_mode     :  6.79709e-01 ; iterations: [ 6.79709e-01 ]
min                  :  5.89137e-01 ; iterations: [ 5.89137e-01 ]
projection2_mode     :  4.37120e-01 ; iterations: [ 4.37120e-01 ]
max                  :  3.62862e-01 ; iterations: [ 3.62862e-01 ]
mode                 :  1.92120e-01 ; iterations: [ 1.92120e-01 ]

