Attributes
atom_atomtype[X,Y,Y] :  4.61579e+00 ; iterations: [ 4.61579e+00 ]
atom_charge[X,Y,Y]   :  1.09939e+00 ; iterations: [ 1.09939e+00 ]
atom_charge[Y,Y,Y]   :  6.60105e-01 ; iterations: [ 6.60105e-01 ]
atom_name[X,Y,Y]     :  3.92695e-01 ; iterations: [ 3.92695e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.22222e-01 ; iterations: [ 2.22222e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.58993e-01 ; iterations: [ 1.58993e-01 ]
sbond_2_atomid[X,Y,Y]:  1.50270e-01 ; iterations: [ 1.50270e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.36881e-01 ; iterations: [ 1.36881e-01 ]
sbond_7_atomid[X,Y,Y]:  1.32222e-01 ; iterations: [ 1.32222e-01 ]
atom_atomtype[Y,Y,Y] :  1.00960e-01 ; iterations: [ 1.00960e-01 ]
sbond_1_atomid[X,Y,Y]:  5.29922e-02 ; iterations: [ 5.29922e-02 ]
atom_name[Y,Y,Y]     :  4.19065e-02 ; iterations: [ 4.19065e-02 ]

Attributes summed
atom_atomtype        :  4.71675e+00 ; iterations: [ 4.71675e+00 ]
atom_charge          :  1.75949e+00 ; iterations: [ 1.75949e+00 ]
atom_name            :  4.34601e-01 ; iterations: [ 4.34601e-01 ]
sbond_7_atomid       :  3.54444e-01 ; iterations: [ 3.54444e-01 ]
sbond_2_atomid       :  2.87152e-01 ; iterations: [ 2.87152e-01 ]
sbond_1_atomid       :  2.11986e-01 ; iterations: [ 2.11986e-01 ]

Aggregators
count                :  3.61054e+00 ; iterations: [ 3.61054e+00 ]
projection2_mode     :  1.54337e+00 ; iterations: [ 1.54337e+00 ]
mode                 :  8.02972e-01 ; iterations: [ 8.02972e-01 ]
sum                  :  6.29641e-01 ; iterations: [ 6.29641e-01 ]
max                  :  5.01385e-01 ; iterations: [ 5.01385e-01 ]
projection0_mode     :  4.07209e-01 ; iterations: [ 4.07209e-01 ]
min                  :  2.69304e-01 ; iterations: [ 2.69304e-01 ]

