Attributes
atom_atomtype[X,Y,Y] :  7.38459e+00 ; iterations: [ 7.38459e+00 ]
atom_name[X,Y,Y]     :  6.74558e-01 ; iterations: [ 6.74558e-01 ]
atom_charge[X,Y,Y]   :  6.55125e-01 ; iterations: [ 6.55125e-01 ]
atom_charge[Y,Y,Y]   :  4.46412e-01 ; iterations: [ 4.46412e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.82052e-01 ; iterations: [ 3.82052e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.96428e-01 ; iterations: [ 1.96428e-01 ]
sbond_1_atomid[X,Y,Y]:  1.59938e-01 ; iterations: [ 1.59938e-01 ]
sbond_2_atomid[X,Y,Y]:  1.06632e-01 ; iterations: [ 1.06632e-01 ]
sbond_7_atomid[X,Y,Y]:  4.86448e-02 ; iterations: [ 4.86448e-02 ]
sbond_7_atomid[Y,Y,Y]:  6.17284e-03 ; iterations: [ 6.17284e-03 ]

Attributes summed
atom_atomtype        :  7.38459e+00 ; iterations: [ 7.38459e+00 ]
atom_charge          :  1.10154e+00 ; iterations: [ 1.10154e+00 ]
atom_name            :  6.74558e-01 ; iterations: [ 6.74558e-01 ]
sbond_1_atomid       :  5.41991e-01 ; iterations: [ 5.41991e-01 ]
sbond_2_atomid       :  3.03060e-01 ; iterations: [ 3.03060e-01 ]
sbond_7_atomid       :  5.48177e-02 ; iterations: [ 5.48177e-02 ]

Aggregators
count                :  5.75832e+00 ; iterations: [ 5.75832e+00 ]
projection2_mode     :  1.42641e+00 ; iterations: [ 1.42641e+00 ]
sum                  :  1.11219e+00 ; iterations: [ 1.11219e+00 ]
min                  :  6.28697e-01 ; iterations: [ 6.28697e-01 ]
max                  :  5.62987e-01 ; iterations: [ 5.62987e-01 ]
mode                 :  4.46412e-01 ; iterations: [ 4.46412e-01 ]
projection0_mode     :  1.25534e-01 ; iterations: [ 1.25534e-01 ]

