Attributes
atom_atomtype[X,Y,Y] :  5.84107e+00 ; iterations: [ 5.84107e+00 ]
atom_charge[X,Y,Y]   :  9.52163e-01 ; iterations: [ 9.52163e-01 ]
atom_name[X,Y,Y]     :  6.74165e-01 ; iterations: [ 6.74165e-01 ]
sbond_1_atomid[X,Y,Y]:  4.53370e-01 ; iterations: [ 4.53370e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.56536e-01 ; iterations: [ 3.56536e-01 ]
atom_atomtype[Y,Y,Y] :  3.15258e-01 ; iterations: [ 3.15258e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.07130e-01 ; iterations: [ 2.07130e-01 ]
atom_charge[Y,Y,Y]   :  1.60707e-01 ; iterations: [ 1.60707e-01 ]
sbond_7_atomid[X,Y,Y]:  9.86908e-02 ; iterations: [ 9.86908e-02 ]
sbond_2_atomid[X,Y,Y]:  1.81975e-02 ; iterations: [ 1.81975e-02 ]
atom_name[Y,Y,Y]     :  1.15720e-02 ; iterations: [ 1.15720e-02 ]

Attributes summed
atom_atomtype        :  6.15633e+00 ; iterations: [ 6.15633e+00 ]
atom_charge          :  1.11287e+00 ; iterations: [ 1.11287e+00 ]
sbond_1_atomid       :  8.09905e-01 ; iterations: [ 8.09905e-01 ]
atom_name            :  6.85737e-01 ; iterations: [ 6.85737e-01 ]
sbond_2_atomid       :  2.25328e-01 ; iterations: [ 2.25328e-01 ]
sbond_7_atomid       :  9.86908e-02 ; iterations: [ 9.86908e-02 ]

Aggregators
count                :  5.43070e+00 ; iterations: [ 5.43070e+00 ]
projection2_mode     :  1.13432e+00 ; iterations: [ 1.13432e+00 ]
sum                  :  1.02149e+00 ; iterations: [ 1.02149e+00 ]
min                  :  7.67722e-01 ; iterations: [ 7.67722e-01 ]
mode                 :  4.39992e-01 ; iterations: [ 4.39992e-01 ]
projection0_mode     :  1.92544e-01 ; iterations: [ 1.92544e-01 ]
max                  :  1.02090e-01 ; iterations: [ 1.02090e-01 ]

