Attributes
atom_atomtype[X,Y,Y] :  5.79404e+00 ; iterations: [ 5.79404e+00 ]
atom_charge[X,Y,Y]   :  6.21724e-01 ; iterations: [ 6.21724e-01 ]
atom_charge[Y,Y,Y]   :  4.48098e-01 ; iterations: [ 4.48098e-01 ]
sbond_1_atomid[X,Y,Y]:  4.26475e-01 ; iterations: [ 4.26475e-01 ]
atom_atomtype[Y,Y,Y] :  2.09647e-01 ; iterations: [ 2.09647e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.02928e-01 ; iterations: [ 2.02928e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.97290e-01 ; iterations: [ 1.97290e-01 ]
sbond_2_atomid[X,Y,Y]:  1.60273e-01 ; iterations: [ 1.60273e-01 ]
atom_name[X,Y,Y]     :  9.29276e-02 ; iterations: [ 9.29276e-02 ]
sbond_7_atomid[X,Y,Y]:  1.26024e-02 ; iterations: [ 1.26024e-02 ]

Attributes summed
atom_atomtype        :  6.00369e+00 ; iterations: [ 6.00369e+00 ]
atom_charge          :  1.06982e+00 ; iterations: [ 1.06982e+00 ]
sbond_1_atomid       :  6.29403e-01 ; iterations: [ 6.29403e-01 ]
sbond_2_atomid       :  3.57564e-01 ; iterations: [ 3.57564e-01 ]
atom_name            :  9.29276e-02 ; iterations: [ 9.29276e-02 ]
sbond_7_atomid       :  1.26024e-02 ; iterations: [ 1.26024e-02 ]

Aggregators
count                :  4.17915e+00 ; iterations: [ 4.17915e+00 ]
projection2_mode     :  1.73164e+00 ; iterations: [ 1.73164e+00 ]
max                  :  5.84036e-01 ; iterations: [ 5.84036e-01 ]
min                  :  5.82815e-01 ; iterations: [ 5.82815e-01 ]
mode                 :  5.21114e-01 ; iterations: [ 5.21114e-01 ]
sum                  :  5.03377e-01 ; iterations: [ 5.03377e-01 ]
projection0_mode     :  6.38776e-02 ; iterations: [ 6.38776e-02 ]

