Attributes
atom_atomtype[X,Y,Y] :  5.10806e+00 ; iterations: [ 5.10806e+00 ]
atom_charge[X,Y,Y]   :  1.20587e+00 ; iterations: [ 1.20587e+00 ]
atom_name[X,Y,Y]     :  9.41274e-01 ; iterations: [ 9.41274e-01 ]
sbond_1_atomid[X,Y,Y]:  3.06924e-01 ; iterations: [ 3.06924e-01 ]
atom_charge[Y,Y,Y]   :  1.81523e-01 ; iterations: [ 1.81523e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.47863e-01 ; iterations: [ 1.47863e-01 ]
atom_name[Y,Y,Y]     :  1.03306e-01 ; iterations: [ 1.03306e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.03250e-01 ; iterations: [ 1.03250e-01 ]
sbond_2_atomid[X,Y,Y]:  1.60739e-02 ; iterations: [ 1.60739e-02 ]
sbond_3_atomid[Y,Y,Y]:  1.53046e-02 ; iterations: [ 1.53046e-02 ]

Attributes summed
atom_atomtype        :  5.10806e+00 ; iterations: [ 5.10806e+00 ]
atom_charge          :  1.38739e+00 ; iterations: [ 1.38739e+00 ]
atom_name            :  1.04458e+00 ; iterations: [ 1.04458e+00 ]
sbond_1_atomid       :  4.10174e-01 ; iterations: [ 4.10174e-01 ]
sbond_2_atomid       :  1.63937e-01 ; iterations: [ 1.63937e-01 ]
sbond_3_atomid       :  1.53046e-02 ; iterations: [ 1.53046e-02 ]

Aggregators
count                :  4.69430e+00 ; iterations: [ 4.69430e+00 ]
sum                  :  1.72347e+00 ; iterations: [ 1.72347e+00 ]
projection2_mode     :  8.81232e-01 ; iterations: [ 8.81232e-01 ]
mode                 :  3.16976e-01 ; iterations: [ 3.16976e-01 ]
max                  :  2.86692e-01 ; iterations: [ 2.86692e-01 ]
projection0_mode     :  1.53060e-01 ; iterations: [ 1.53060e-01 ]
min                  :  7.37210e-02 ; iterations: [ 7.37210e-02 ]

