Attributes
bonds_bond_type[X,Y,Y,Y]:  1.31878e+00 ; iterations: [ 1.31878e+00 ]
atoms_atom_type[Y,X,Y]  :  8.01791e-01 ; iterations: [ 8.01791e-01 ]
atoms_charge[Y,X,Y]     :  7.26714e-01 ; iterations: [ 7.26714e-01 ]
atoms_atom_type[Y,Y,Y]  :  1.11419e-01 ; iterations: [ 1.11419e-01 ]
atoms_element[Y,X,Y]    :  4.76076e-02 ; iterations: [ 4.76076e-02 ]
atoms_charge[Y,Y,Y]     :  3.26531e-02 ; iterations: [ 3.26531e-02 ]
bonds_bond_type[Y,Y,Y,Y]:  3.17862e-02 ; iterations: [ 3.17862e-02 ]

Attributes summed
bonds_bond_type         :  1.35057e+00 ; iterations: [ 1.35057e+00 ]
atoms_atom_type         :  9.13210e-01 ; iterations: [ 9.13210e-01 ]
atoms_charge            :  7.59367e-01 ; iterations: [ 7.59367e-01 ]
atoms_element           :  4.76076e-02 ; iterations: [ 4.76076e-02 ]

Aggregators
sum                     :  1.96075e+00 ; iterations: [ 1.96075e+00 ]
max                     :  3.42327e-01 ; iterations: [ 3.42327e-01 ]
count                   :  3.16653e-01 ; iterations: [ 3.16653e-01 ]
min                     :  1.91227e-01 ; iterations: [ 1.91227e-01 ]
projection2_max         :  1.11419e-01 ; iterations: [ 1.11419e-01 ]
mode                    :  7.14286e-02 ; iterations: [ 7.14286e-02 ]
projection2_sum         :  3.26531e-02 ; iterations: [ 3.26531e-02 ]
projection3_mode        :  2.65415e-02 ; iterations: [ 2.65415e-02 ]
projection1_mode        :  1.77515e-02 ; iterations: [ 1.77515e-02 ]

