Attributes
atom_atomtype[X,Y,Y] :  5.17555e+00 ; iterations: [ 5.17555e+00 ]
atom_charge[X,Y,Y]   :  1.25522e+00 ; iterations: [ 1.25522e+00 ]
atom_name[X,Y,Y]     :  8.80971e-01 ; iterations: [ 8.80971e-01 ]
sbond_1_atomid[Y,Y,Y]:  6.01488e-01 ; iterations: [ 6.01488e-01 ]
sbond_7_atomid[X,Y,Y]:  8.24303e-02 ; iterations: [ 8.24303e-02 ]
atom_charge[Y,Y,Y]   :  7.38080e-02 ; iterations: [ 7.38080e-02 ]
sbond_1_atomid[X,Y,Y]:  4.54262e-02 ; iterations: [ 4.54262e-02 ]
sbond_2_atomid[X,Y,Y]:  4.18853e-02 ; iterations: [ 4.18853e-02 ]
sbond_2_atomid[Y,Y,Y]:  1.16371e-02 ; iterations: [ 1.16371e-02 ]

Attributes summed
atom_atomtype        :  5.17555e+00 ; iterations: [ 5.17555e+00 ]
atom_charge          :  1.32903e+00 ; iterations: [ 1.32903e+00 ]
atom_name            :  8.80971e-01 ; iterations: [ 8.80971e-01 ]
sbond_1_atomid       :  6.46915e-01 ; iterations: [ 6.46915e-01 ]
sbond_7_atomid       :  8.24303e-02 ; iterations: [ 8.24303e-02 ]
sbond_2_atomid       :  5.35223e-02 ; iterations: [ 5.35223e-02 ]

Aggregators
count                :  4.84397e+00 ; iterations: [ 4.84397e+00 ]
sum                  :  1.77620e+00 ; iterations: [ 1.77620e+00 ]
min                  :  6.05594e-01 ; iterations: [ 6.05594e-01 ]
max                  :  4.80800e-01 ; iterations: [ 4.80800e-01 ]
projection2_mode     :  3.40859e-01 ; iterations: [ 3.40859e-01 ]
mode                 :  7.38080e-02 ; iterations: [ 7.38080e-02 ]
projection0_mode     :  4.71926e-02 ; iterations: [ 4.71926e-02 ]

