Attributes
atom_atomtype[X,Y,Y] :  3.82323e+00 ; iterations: [ 3.82323e+00 ]
atom_charge[X,Y,Y]   :  9.46540e-01 ; iterations: [ 9.46540e-01 ]
sbond_1_atomid[X,Y,Y]:  5.73332e-01 ; iterations: [ 5.73332e-01 ]
atom_name[X,Y,Y]     :  5.24887e-01 ; iterations: [ 5.24887e-01 ]
atom_charge[Y,Y,Y]   :  4.94765e-01 ; iterations: [ 4.94765e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.57102e-01 ; iterations: [ 4.57102e-01 ]
atom_atomtype[Y,Y,Y] :  4.06064e-01 ; iterations: [ 4.06064e-01 ]
atom_name[Y,Y,Y]     :  1.88419e-01 ; iterations: [ 1.88419e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.11143e-01 ; iterations: [ 1.11143e-01 ]
sbond_2_atomid[X,Y,Y]:  8.82475e-02 ; iterations: [ 8.82475e-02 ]

Attributes summed
atom_atomtype        :  4.22929e+00 ; iterations: [ 4.22929e+00 ]
atom_charge          :  1.44130e+00 ; iterations: [ 1.44130e+00 ]
sbond_1_atomid       :  1.03043e+00 ; iterations: [ 1.03043e+00 ]
atom_name            :  7.13306e-01 ; iterations: [ 7.13306e-01 ]
sbond_2_atomid       :  1.99391e-01 ; iterations: [ 1.99391e-01 ]

Aggregators
count                :  3.41732e+00 ; iterations: [ 3.41732e+00 ]
projection2_mode     :  1.24048e+00 ; iterations: [ 1.24048e+00 ]
mode                 :  1.16892e+00 ; iterations: [ 1.16892e+00 ]
sum                  :  1.07408e+00 ; iterations: [ 1.07408e+00 ]
min                  :  6.01780e-01 ; iterations: [ 6.01780e-01 ]
projection0_mode     :  1.11143e-01 ; iterations: [ 1.11143e-01 ]

