Attributes
atom_atomtype[X,Y,Y] :  6.40398e+00 ; iterations: [ 6.40398e+00 ]
atom_charge[Y,Y,Y]   :  7.02924e-01 ; iterations: [ 7.02924e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.44830e-01 ; iterations: [ 5.44830e-01 ]
sbond_1_atomid[X,Y,Y]:  4.93714e-01 ; iterations: [ 4.93714e-01 ]
atom_charge[X,Y,Y]   :  2.62107e-01 ; iterations: [ 2.62107e-01 ]
atom_atomtype[Y,Y,Y] :  2.47438e-01 ; iterations: [ 2.47438e-01 ]
atom_name[X,Y,Y]     :  1.19164e-01 ; iterations: [ 1.19164e-01 ]
sbond_7_atomid[X,Y,Y]:  8.88889e-02 ; iterations: [ 8.88889e-02 ]
sbond_2_atomid[X,Y,Y]:  5.64210e-02 ; iterations: [ 5.64210e-02 ]
sbond_7_atomid[Y,Y,Y]:  4.09297e-02 ; iterations: [ 4.09297e-02 ]
sbond_2_atomid[Y,Y,Y]:  2.79733e-02 ; iterations: [ 2.79733e-02 ]

Attributes summed
atom_atomtype        :  6.65141e+00 ; iterations: [ 6.65141e+00 ]
sbond_1_atomid       :  1.03854e+00 ; iterations: [ 1.03854e+00 ]
atom_charge          :  9.65032e-01 ; iterations: [ 9.65032e-01 ]
sbond_7_atomid       :  1.29819e-01 ; iterations: [ 1.29819e-01 ]
atom_name            :  1.19164e-01 ; iterations: [ 1.19164e-01 ]
sbond_2_atomid       :  8.43943e-02 ; iterations: [ 8.43943e-02 ]

Aggregators
count                :  4.97750e+00 ; iterations: [ 4.97750e+00 ]
projection2_mode     :  1.11780e+00 ; iterations: [ 1.11780e+00 ]
mode                 :  9.36380e-01 ; iterations: [ 9.36380e-01 ]
sum                  :  7.85484e-01 ; iterations: [ 7.85484e-01 ]
max                  :  6.59684e-01 ; iterations: [ 6.59684e-01 ]
min                  :  4.83547e-01 ; iterations: [ 4.83547e-01 ]
projection0_mode     :  2.79733e-02 ; iterations: [ 2.79733e-02 ]

