Attributes
atom_atomtype[X,Y,Y] :  4.91147e+00 ; iterations: [ 4.91147e+00 ]
atom_charge[X,Y,Y]   :  1.30945e+00 ; iterations: [ 1.30945e+00 ]
atom_charge[Y,Y,Y]   :  3.59697e-01 ; iterations: [ 3.59697e-01 ]
sbond_2_atomid[X,Y,Y]:  2.03139e-01 ; iterations: [ 2.03139e-01 ]
atom_name[X,Y,Y]     :  1.90113e-01 ; iterations: [ 1.90113e-01 ]
atom_name[Y,Y,Y]     :  1.86566e-01 ; iterations: [ 1.86566e-01 ]
atom_atomtype[Y,Y,Y] :  1.65036e-01 ; iterations: [ 1.65036e-01 ]
sbond_7_atomid[X,Y,Y]:  1.43767e-01 ; iterations: [ 1.43767e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.43767e-01 ; iterations: [ 1.43767e-01 ]
sbond_1_atomid[X,Y,Y]:  1.33778e-01 ; iterations: [ 1.33778e-01 ]
sbond_7_atomid[Y,Y,Y]:  6.50000e-02 ; iterations: [ 6.50000e-02 ]
sbond_2_atomid[Y,Y,Y]:  4.96229e-02 ; iterations: [ 4.96229e-02 ]

Attributes summed
atom_atomtype        :  5.07651e+00 ; iterations: [ 5.07651e+00 ]
atom_charge          :  1.66915e+00 ; iterations: [ 1.66915e+00 ]
atom_name            :  3.76678e-01 ; iterations: [ 3.76678e-01 ]
sbond_1_atomid       :  2.77545e-01 ; iterations: [ 2.77545e-01 ]
sbond_2_atomid       :  2.52762e-01 ; iterations: [ 2.52762e-01 ]
sbond_7_atomid       :  2.08767e-01 ; iterations: [ 2.08767e-01 ]

Aggregators
count                :  4.25721e+00 ; iterations: [ 4.25721e+00 ]
projection2_mode     :  1.41230e+00 ; iterations: [ 1.41230e+00 ]
mode                 :  7.11298e-01 ; iterations: [ 7.11298e-01 ]
sum                  :  6.42577e-01 ; iterations: [ 6.42577e-01 ]
min                  :  5.28653e-01 ; iterations: [ 5.28653e-01 ]
max                  :  1.82727e-01 ; iterations: [ 1.82727e-01 ]
projection0_mode     :  1.26641e-01 ; iterations: [ 1.26641e-01 ]

