Attributes
atom_atomtype[X,Y,Y] :  4.67552e+00 ; iterations: [ 4.67552e+00 ]
atom_charge[X,Y,Y]   :  8.92728e-01 ; iterations: [ 8.92728e-01 ]
sbond_1_atomid[X,Y,Y]:  7.71672e-01 ; iterations: [ 7.71672e-01 ]
atom_charge[Y,Y,Y]   :  7.68016e-01 ; iterations: [ 7.68016e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.68543e-01 ; iterations: [ 5.68543e-01 ]
sbond_7_atomid[Y,Y,Y]:  4.43334e-01 ; iterations: [ 4.43334e-01 ]
atom_name[X,Y,Y]     :  1.91425e-01 ; iterations: [ 1.91425e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.15556e-01 ; iterations: [ 1.15556e-01 ]
atom_atomtype[Y,Y,Y] :  1.04393e-01 ; iterations: [ 1.04393e-01 ]
sbond_2_atomid[X,Y,Y]:  4.71502e-02 ; iterations: [ 4.71502e-02 ]

Attributes summed
atom_atomtype        :  4.77991e+00 ; iterations: [ 4.77991e+00 ]
atom_charge          :  1.66074e+00 ; iterations: [ 1.66074e+00 ]
sbond_1_atomid       :  1.34022e+00 ; iterations: [ 1.34022e+00 ]
sbond_7_atomid       :  4.43334e-01 ; iterations: [ 4.43334e-01 ]
atom_name            :  1.91425e-01 ; iterations: [ 1.91425e-01 ]
sbond_2_atomid       :  1.62706e-01 ; iterations: [ 1.62706e-01 ]

Aggregators
count                :  4.15704e+00 ; iterations: [ 4.15704e+00 ]
projection2_mode     :  1.37241e+00 ; iterations: [ 1.37241e+00 ]
sum                  :  1.05004e+00 ; iterations: [ 1.05004e+00 ]
mode                 :  9.04362e-01 ; iterations: [ 9.04362e-01 ]
max                  :  6.00648e-01 ; iterations: [ 6.00648e-01 ]
projection0_mode     :  4.72741e-01 ; iterations: [ 4.72741e-01 ]
min                  :  2.10938e-02 ; iterations: [ 2.10938e-02 ]

