Attributes
atom_atomtype[X,Y,Y] :  3.83626e+00 ; iterations: [ 3.83626e+00 ]
atom_charge[X,Y,Y]   :  1.97800e+00 ; iterations: [ 1.97800e+00 ]
atom_name[X,Y,Y]     :  4.34557e-01 ; iterations: [ 4.34557e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.86791e-01 ; iterations: [ 2.86791e-01 ]
atom_charge[Y,Y,Y]   :  2.24830e-01 ; iterations: [ 2.24830e-01 ]
sbond_1_atomid[X,Y,Y]:  2.16207e-01 ; iterations: [ 2.16207e-01 ]
atom_atomtype[Y,Y,Y] :  1.38022e-01 ; iterations: [ 1.38022e-01 ]
sbond_2_atomid[X,Y,Y]:  9.36222e-02 ; iterations: [ 9.36222e-02 ]
sbond_7_atomid[Y,Y,Y]:  8.68056e-02 ; iterations: [ 8.68056e-02 ]
atom_name[Y,Y,Y]     :  7.22692e-02 ; iterations: [ 7.22692e-02 ]
sbond_7_atomid[X,Y,Y]:  1.05658e-02 ; iterations: [ 1.05658e-02 ]

Attributes summed
atom_atomtype        :  3.97428e+00 ; iterations: [ 3.97428e+00 ]
atom_charge          :  2.20283e+00 ; iterations: [ 2.20283e+00 ]
atom_name            :  5.06826e-01 ; iterations: [ 5.06826e-01 ]
sbond_1_atomid       :  5.02998e-01 ; iterations: [ 5.02998e-01 ]
sbond_7_atomid       :  9.73714e-02 ; iterations: [ 9.73714e-02 ]
sbond_2_atomid       :  9.36222e-02 ; iterations: [ 9.36222e-02 ]

Aggregators
count                :  3.90804e+00 ; iterations: [ 3.90804e+00 ]
sum                  :  1.24609e+00 ; iterations: [ 1.24609e+00 ]
projection2_mode     :  7.73564e-01 ; iterations: [ 7.73564e-01 ]
min                  :  6.23786e-01 ; iterations: [ 6.23786e-01 ]
mode                 :  3.49992e-01 ; iterations: [ 3.49992e-01 ]
max                  :  3.01496e-01 ; iterations: [ 3.01496e-01 ]
projection0_mode     :  1.74960e-01 ; iterations: [ 1.74960e-01 ]

