Attributes
atom_atomtype[X,Y,Y] :  5.16894e+00 ; iterations: [ 5.16894e+00 ]
atom_charge[X,Y,Y]   :  9.44813e-01 ; iterations: [ 9.44813e-01 ]
atom_charge[Y,Y,Y]   :  4.86105e-01 ; iterations: [ 4.86105e-01 ]
atom_name[X,Y,Y]     :  4.73630e-01 ; iterations: [ 4.73630e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.52995e-01 ; iterations: [ 4.52995e-01 ]
sbond_2_atomid[X,Y,Y]:  3.42877e-01 ; iterations: [ 3.42877e-01 ]
atom_atomtype[Y,Y,Y] :  3.42877e-01 ; iterations: [ 3.42877e-01 ]
sbond_1_atomid[X,Y,Y]:  1.60670e-01 ; iterations: [ 1.60670e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.13863e-02 ; iterations: [ 3.13863e-02 ]
sbond_7_atomid[X,Y,Y]:  2.74382e-02 ; iterations: [ 2.74382e-02 ]
atom_name[Y,Y,Y]     :  3.13054e-03 ; iterations: [ 3.13054e-03 ]

Attributes summed
atom_atomtype        :  5.51182e+00 ; iterations: [ 5.51182e+00 ]
atom_charge          :  1.43092e+00 ; iterations: [ 1.43092e+00 ]
sbond_1_atomid       :  6.13666e-01 ; iterations: [ 6.13666e-01 ]
atom_name            :  4.76761e-01 ; iterations: [ 4.76761e-01 ]
sbond_2_atomid       :  3.74264e-01 ; iterations: [ 3.74264e-01 ]
sbond_7_atomid       :  2.74382e-02 ; iterations: [ 2.74382e-02 ]

Aggregators
count                :  4.44904e+00 ; iterations: [ 4.44904e+00 ]
projection2_mode     :  1.00218e+00 ; iterations: [ 1.00218e+00 ]
sum                  :  1.00011e+00 ; iterations: [ 1.00011e+00 ]
mode                 :  8.32113e-01 ; iterations: [ 8.32113e-01 ]
max                  :  4.91739e-01 ; iterations: [ 4.91739e-01 ]
min                  :  4.29262e-01 ; iterations: [ 4.29262e-01 ]
projection0_mode     :  2.30421e-01 ; iterations: [ 2.30421e-01 ]

