Attributes
atom_atomtype[X,Y,Y] :  4.82487e+00 ; iterations: [ 4.82487e+00 ]
atom_charge[X,Y,Y]   :  9.90141e-01 ; iterations: [ 9.90141e-01 ]
sbond_1_atomid[Y,Y,Y]:  7.83231e-01 ; iterations: [ 7.83231e-01 ]
sbond_1_atomid[X,Y,Y]:  5.23870e-01 ; iterations: [ 5.23870e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.71154e-01 ; iterations: [ 3.71154e-01 ]
atom_charge[Y,Y,Y]   :  2.04180e-01 ; iterations: [ 2.04180e-01 ]
atom_atomtype[Y,Y,Y] :  1.63810e-01 ; iterations: [ 1.63810e-01 ]
sbond_2_atomid[X,Y,Y]:  1.39401e-01 ; iterations: [ 1.39401e-01 ]
atom_name[X,Y,Y]     :  1.02000e-01 ; iterations: [ 1.02000e-01 ]
sbond_7_atomid[Y,Y,Y]:  4.24275e-02 ; iterations: [ 4.24275e-02 ]
sbond_7_atomid[X,Y,Y]:  1.01629e-02 ; iterations: [ 1.01629e-02 ]

Attributes summed
atom_atomtype        :  4.98868e+00 ; iterations: [ 4.98868e+00 ]
sbond_1_atomid       :  1.30710e+00 ; iterations: [ 1.30710e+00 ]
atom_charge          :  1.19432e+00 ; iterations: [ 1.19432e+00 ]
sbond_2_atomid       :  5.10555e-01 ; iterations: [ 5.10555e-01 ]
atom_name            :  1.02000e-01 ; iterations: [ 1.02000e-01 ]
sbond_7_atomid       :  5.25904e-02 ; iterations: [ 5.25904e-02 ]

Aggregators
count                :  4.84494e+00 ; iterations: [ 4.84494e+00 ]
sum                  :  1.73579e+00 ; iterations: [ 1.73579e+00 ]
projection0_mode     :  4.01177e-01 ; iterations: [ 4.01177e-01 ]
mode                 :  3.83353e-01 ; iterations: [ 3.83353e-01 ]
projection2_mode     :  3.50055e-01 ; iterations: [ 3.50055e-01 ]
max                  :  3.08873e-01 ; iterations: [ 3.08873e-01 ]
min                  :  1.31064e-01 ; iterations: [ 1.31064e-01 ]

