Attributes
atom_atomtype[X,Y,Y] :  5.27980e+00 ; iterations: [ 5.27980e+00 ]
atom_charge[X,Y,Y]   :  1.16907e+00 ; iterations: [ 1.16907e+00 ]
atom_name[X,Y,Y]     :  9.65989e-01 ; iterations: [ 9.65989e-01 ]
atom_charge[Y,Y,Y]   :  7.77133e-01 ; iterations: [ 7.77133e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.69407e-01 ; iterations: [ 4.69407e-01 ]
sbond_1_atomid[X,Y,Y]:  4.43150e-01 ; iterations: [ 4.43150e-01 ]
atom_atomtype[Y,Y,Y] :  1.87970e-01 ; iterations: [ 1.87970e-01 ]
sbond_2_atomid[X,Y,Y]:  1.02729e-01 ; iterations: [ 1.02729e-01 ]
sbond_2_atomid[Y,Y,Y]:  5.10417e-02 ; iterations: [ 5.10417e-02 ]
sbond_7_atomid[X,Y,Y]:  2.10918e-02 ; iterations: [ 2.10918e-02 ]
sbond_7_atomid[Y,Y,Y]:  2.10918e-02 ; iterations: [ 2.10918e-02 ]
atom_name[Y,Y,Y]     :  1.29221e-02 ; iterations: [ 1.29221e-02 ]

Attributes summed
atom_atomtype        :  5.46777e+00 ; iterations: [ 5.46777e+00 ]
atom_charge          :  1.94620e+00 ; iterations: [ 1.94620e+00 ]
atom_name            :  9.78911e-01 ; iterations: [ 9.78911e-01 ]
sbond_1_atomid       :  9.12557e-01 ; iterations: [ 9.12557e-01 ]
sbond_2_atomid       :  1.53771e-01 ; iterations: [ 1.53771e-01 ]
sbond_7_atomid       :  4.21835e-02 ; iterations: [ 4.21835e-02 ]

Aggregators
count                :  5.50303e+00 ; iterations: [ 5.50303e+00 ]
projection2_mode     :  1.16703e+00 ; iterations: [ 1.16703e+00 ]
mode                 :  9.01380e-01 ; iterations: [ 9.01380e-01 ]
sum                  :  9.00216e-01 ; iterations: [ 9.00216e-01 ]
min                  :  8.47784e-01 ; iterations: [ 8.47784e-01 ]
projection0_mode     :  1.08900e-01 ; iterations: [ 1.08900e-01 ]
max                  :  7.30573e-02 ; iterations: [ 7.30573e-02 ]

