Attributes
atom_atomtype[X,Y,Y] :  2.94098e+00 ; iterations: [ 2.94098e+00 ]
atom_charge[Y,Y,Y]   :  8.29382e-01 ; iterations: [ 8.29382e-01 ]
sbond_1_atomid[X,Y,Y]:  7.61249e-01 ; iterations: [ 7.61249e-01 ]
sbond_1_atomid[Y,Y,Y]:  6.29459e-01 ; iterations: [ 6.29459e-01 ]
atom_charge[X,Y,Y]   :  4.65249e-01 ; iterations: [ 4.65249e-01 ]
atom_name[X,Y,Y]     :  1.63073e-01 ; iterations: [ 1.63073e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.03953e-01 ; iterations: [ 1.03953e-01 ]
sbond_7_atomid[X,Y,Y]:  9.18715e-02 ; iterations: [ 9.18715e-02 ]
sbond_2_atomid[X,Y,Y]:  7.87738e-02 ; iterations: [ 7.87738e-02 ]
sbond_2_atomid[Y,Y,Y]:  6.17194e-02 ; iterations: [ 6.17194e-02 ]
atom_atomtype[Y,Y,Y] :  5.53633e-02 ; iterations: [ 5.53633e-02 ]
atom_name[Y,Y,Y]     :  2.10651e-02 ; iterations: [ 2.10651e-02 ]

Attributes summed
atom_atomtype        :  2.99634e+00 ; iterations: [ 2.99634e+00 ]
sbond_1_atomid       :  1.39071e+00 ; iterations: [ 1.39071e+00 ]
atom_charge          :  1.29463e+00 ; iterations: [ 1.29463e+00 ]
sbond_7_atomid       :  1.95824e-01 ; iterations: [ 1.95824e-01 ]
atom_name            :  1.84138e-01 ; iterations: [ 1.84138e-01 ]
sbond_2_atomid       :  1.40493e-01 ; iterations: [ 1.40493e-01 ]

Aggregators
count                :  2.24190e+00 ; iterations: [ 2.24190e+00 ]
mode                 :  1.06336e+00 ; iterations: [ 1.06336e+00 ]
projection2_mode     :  1.04470e+00 ; iterations: [ 1.04470e+00 ]
sum                  :  7.45179e-01 ; iterations: [ 7.45179e-01 ]
max                  :  4.85025e-01 ; iterations: [ 4.85025e-01 ]
min                  :  4.23322e-01 ; iterations: [ 4.23322e-01 ]
projection0_mode     :  1.98647e-01 ; iterations: [ 1.98647e-01 ]

