Attributes
atom_atomtype[X,Y,Y] :  5.41501e+00 ; iterations: [ 5.41501e+00 ]
atom_charge[X,Y,Y]   :  9.88408e-01 ; iterations: [ 9.88408e-01 ]
atom_charge[Y,Y,Y]   :  6.62704e-01 ; iterations: [ 6.62704e-01 ]
atom_name[X,Y,Y]     :  2.86967e-01 ; iterations: [ 2.86967e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.67259e-01 ; iterations: [ 2.67259e-01 ]
sbond_1_atomid[X,Y,Y]:  1.74789e-01 ; iterations: [ 1.74789e-01 ]
atom_atomtype[Y,Y,Y] :  1.41009e-01 ; iterations: [ 1.41009e-01 ]
atom_name[Y,Y,Y]     :  1.15032e-01 ; iterations: [ 1.15032e-01 ]
sbond_7_atomid[X,Y,Y]:  7.71605e-02 ; iterations: [ 7.71605e-02 ]
sbond_2_atomid[Y,Y,Y]:  7.30566e-02 ; iterations: [ 7.30566e-02 ]
sbond_7_atomid[Y,Y,Y]:  3.93967e-02 ; iterations: [ 3.93967e-02 ]
sbond_2_atomid[X,Y,Y]:  3.24193e-02 ; iterations: [ 3.24193e-02 ]
sbond_3_atomid[Y,Y,Y]:  1.99657e-02 ; iterations: [ 1.99657e-02 ]

Attributes summed
atom_atomtype        :  5.55602e+00 ; iterations: [ 5.55602e+00 ]
atom_charge          :  1.65111e+00 ; iterations: [ 1.65111e+00 ]
sbond_1_atomid       :  4.42048e-01 ; iterations: [ 4.42048e-01 ]
atom_name            :  4.01999e-01 ; iterations: [ 4.01999e-01 ]
sbond_7_atomid       :  1.16557e-01 ; iterations: [ 1.16557e-01 ]
sbond_2_atomid       :  1.05476e-01 ; iterations: [ 1.05476e-01 ]
sbond_3_atomid       :  1.99657e-02 ; iterations: [ 1.99657e-02 ]

Aggregators
count                :  4.75337e+00 ; iterations: [ 4.75337e+00 ]
projection2_mode     :  1.36473e+00 ; iterations: [ 1.36473e+00 ]
mode                 :  8.48841e-01 ; iterations: [ 8.48841e-01 ]
sum                  :  4.87392e-01 ; iterations: [ 4.87392e-01 ]
min                  :  3.86808e-01 ; iterations: [ 3.86808e-01 ]
max                  :  2.58260e-01 ; iterations: [ 2.58260e-01 ]
projection0_mode     :  1.93776e-01 ; iterations: [ 1.93776e-01 ]

