Attributes
atom_atomtype[X,Y,Y] :  5.80608e+00 ; iterations: [ 5.80608e+00 ]
atom_name[X,Y,Y]     :  1.46905e+00 ; iterations: [ 1.46905e+00 ]
atom_charge[Y,Y,Y]   :  3.10708e-01 ; iterations: [ 3.10708e-01 ]
atom_charge[X,Y,Y]   :  2.63599e-01 ; iterations: [ 2.63599e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.61605e-01 ; iterations: [ 2.61605e-01 ]
sbond_2_atomid[Y,Y,Y]:  9.45628e-02 ; iterations: [ 9.45628e-02 ]
sbond_7_atomid[Y,Y,Y]:  8.61047e-02 ; iterations: [ 8.61047e-02 ]
sbond_1_atomid[X,Y,Y]:  8.25195e-02 ; iterations: [ 8.25195e-02 ]
atom_atomtype[Y,Y,Y] :  2.66326e-02 ; iterations: [ 2.66326e-02 ]
sbond_7_atomid[X,Y,Y]:  1.66577e-02 ; iterations: [ 1.66577e-02 ]
sbond_2_atomid[X,Y,Y]:  1.45616e-02 ; iterations: [ 1.45616e-02 ]

Attributes summed
atom_atomtype        :  5.83272e+00 ; iterations: [ 5.83272e+00 ]
atom_name            :  1.46905e+00 ; iterations: [ 1.46905e+00 ]
atom_charge          :  5.74307e-01 ; iterations: [ 5.74307e-01 ]
sbond_1_atomid       :  3.44125e-01 ; iterations: [ 3.44125e-01 ]
sbond_2_atomid       :  1.09124e-01 ; iterations: [ 1.09124e-01 ]
sbond_7_atomid       :  1.02762e-01 ; iterations: [ 1.02762e-01 ]

Aggregators
count                :  4.76291e+00 ; iterations: [ 4.76291e+00 ]
sum                  :  1.03866e+00 ; iterations: [ 1.03866e+00 ]
projection2_mode     :  7.96066e-01 ; iterations: [ 7.96066e-01 ]
min                  :  7.02174e-01 ; iterations: [ 7.02174e-01 ]
max                  :  5.63047e-01 ; iterations: [ 5.63047e-01 ]
mode                 :  3.37341e-01 ; iterations: [ 3.37341e-01 ]
projection0_mode     :  2.31881e-01 ; iterations: [ 2.31881e-01 ]

