Attributes
atom_atomtype[X,Y,Y] :  4.90934e+00 ; iterations: [ 4.90934e+00 ]
sbond_1_atomid[Y,Y,Y]:  6.75043e-01 ; iterations: [ 6.75043e-01 ]
atom_name[X,Y,Y]     :  6.13329e-01 ; iterations: [ 6.13329e-01 ]
atom_charge[Y,Y,Y]   :  4.79333e-01 ; iterations: [ 4.79333e-01 ]
sbond_1_atomid[X,Y,Y]:  4.10680e-01 ; iterations: [ 4.10680e-01 ]
atom_charge[X,Y,Y]   :  3.62594e-01 ; iterations: [ 3.62594e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.75129e-01 ; iterations: [ 2.75129e-01 ]
atom_atomtype[Y,Y,Y] :  2.09712e-01 ; iterations: [ 2.09712e-01 ]
sbond_2_atomid[X,Y,Y]:  1.83025e-01 ; iterations: [ 1.83025e-01 ]
sbond_7_atomid[X,Y,Y]:  4.22377e-02 ; iterations: [ 4.22377e-02 ]
atom_name[Y,Y,Y]     :  2.26020e-02 ; iterations: [ 2.26020e-02 ]

Attributes summed
atom_atomtype        :  5.11906e+00 ; iterations: [ 5.11906e+00 ]
sbond_1_atomid       :  1.08572e+00 ; iterations: [ 1.08572e+00 ]
atom_charge          :  8.41927e-01 ; iterations: [ 8.41927e-01 ]
atom_name            :  6.35931e-01 ; iterations: [ 6.35931e-01 ]
sbond_2_atomid       :  4.58155e-01 ; iterations: [ 4.58155e-01 ]
sbond_7_atomid       :  4.22377e-02 ; iterations: [ 4.22377e-02 ]

Aggregators
count                :  3.97196e+00 ; iterations: [ 3.97196e+00 ]
projection2_mode     :  1.05606e+00 ; iterations: [ 1.05606e+00 ]
sum                  :  9.43329e-01 ; iterations: [ 9.43329e-01 ]
mode                 :  6.77277e-01 ; iterations: [ 6.77277e-01 ]
projection0_mode     :  5.43927e-01 ; iterations: [ 5.43927e-01 ]
max                  :  5.34693e-01 ; iterations: [ 5.34693e-01 ]
min                  :  4.55779e-01 ; iterations: [ 4.55779e-01 ]

