Attributes
atom_atomtype[X,Y,Y] :  4.63577e+00 ; iterations: [ 4.63577e+00 ]
sbond_1_atomid[X,Y,Y]:  9.01027e-01 ; iterations: [ 9.01027e-01 ]
atom_charge[X,Y,Y]   :  5.28528e-01 ; iterations: [ 5.28528e-01 ]
atom_name[X,Y,Y]     :  4.13357e-01 ; iterations: [ 4.13357e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.87181e-01 ; iterations: [ 3.87181e-01 ]
atom_charge[Y,Y,Y]   :  3.64248e-01 ; iterations: [ 3.64248e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.20776e-01 ; iterations: [ 3.20776e-01 ]
atom_atomtype[Y,Y,Y] :  1.47279e-01 ; iterations: [ 1.47279e-01 ]
sbond_2_atomid[X,Y,Y]:  7.81691e-02 ; iterations: [ 7.81691e-02 ]
sbond_7_atomid[Y,Y,Y]:  7.46097e-02 ; iterations: [ 7.46097e-02 ]
sbond_7_atomid[X,Y,Y]:  5.65149e-02 ; iterations: [ 5.65149e-02 ]

Attributes summed
atom_atomtype        :  4.78305e+00 ; iterations: [ 4.78305e+00 ]
sbond_1_atomid       :  1.22180e+00 ; iterations: [ 1.22180e+00 ]
atom_charge          :  8.92776e-01 ; iterations: [ 8.92776e-01 ]
sbond_2_atomid       :  4.65350e-01 ; iterations: [ 4.65350e-01 ]
atom_name            :  4.13357e-01 ; iterations: [ 4.13357e-01 ]
sbond_7_atomid       :  1.31125e-01 ; iterations: [ 1.31125e-01 ]

Aggregators
count                :  4.32960e+00 ; iterations: [ 4.32960e+00 ]
sum                  :  1.15555e+00 ; iterations: [ 1.15555e+00 ]
projection2_mode     :  8.53419e-01 ; iterations: [ 8.53419e-01 ]
mode                 :  5.26739e-01 ; iterations: [ 5.26739e-01 ]
projection0_mode     :  4.45901e-01 ; iterations: [ 4.45901e-01 ]
max                  :  3.24429e-01 ; iterations: [ 3.24429e-01 ]
min                  :  2.71823e-01 ; iterations: [ 2.71823e-01 ]

