Attributes
atom_atomtype[X,Y,Y] :  3.85516e+00 ; iterations: [ 3.85516e+00 ]
sbond_1_atomid[X,Y,Y]:  8.30610e-01 ; iterations: [ 8.30610e-01 ]
atom_charge[X,Y,Y]   :  6.95468e-01 ; iterations: [ 6.95468e-01 ]
atom_name[X,Y,Y]     :  6.57318e-01 ; iterations: [ 6.57318e-01 ]
atom_charge[Y,Y,Y]   :  4.63269e-01 ; iterations: [ 4.63269e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.23295e-01 ; iterations: [ 4.23295e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.72142e-01 ; iterations: [ 1.72142e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.25623e-01 ; iterations: [ 1.25623e-01 ]
atom_atomtype[Y,Y,Y] :  1.15524e-01 ; iterations: [ 1.15524e-01 ]
sbond_2_atomid[X,Y,Y]:  9.34142e-02 ; iterations: [ 9.34142e-02 ]
sbond_7_atomid[X,Y,Y]:  1.33884e-02 ; iterations: [ 1.33884e-02 ]

Attributes summed
atom_atomtype        :  3.97068e+00 ; iterations: [ 3.97068e+00 ]
sbond_1_atomid       :  1.25390e+00 ; iterations: [ 1.25390e+00 ]
atom_charge          :  1.15874e+00 ; iterations: [ 1.15874e+00 ]
atom_name            :  6.57318e-01 ; iterations: [ 6.57318e-01 ]
sbond_2_atomid       :  2.19038e-01 ; iterations: [ 2.19038e-01 ]
sbond_7_atomid       :  1.85531e-01 ; iterations: [ 1.85531e-01 ]

Aggregators
count                :  4.08076e+00 ; iterations: [ 4.08076e+00 ]
sum                  :  1.07244e+00 ; iterations: [ 1.07244e+00 ]
mode                 :  6.39320e-01 ; iterations: [ 6.39320e-01 ]
projection2_mode     :  5.78792e-01 ; iterations: [ 5.78792e-01 ]
max                  :  5.44777e-01 ; iterations: [ 5.44777e-01 ]
projection0_mode     :  3.00180e-01 ; iterations: [ 3.00180e-01 ]
min                  :  2.28938e-01 ; iterations: [ 2.28938e-01 ]

