Attributes
bonds_bond_type[X,Y,Y,Y]:  4.18970e-01 ; iterations: [ 4.18970e-01 ]
atoms_atom_type[Y,X,Y]  :  3.94733e-01 ; iterations: [ 3.94733e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  2.22222e-01 ; iterations: [ 2.22222e-01 ]
atoms_charge[Y,X,Y]     :  2.04863e-01 ; iterations: [ 2.04863e-01 ]
atoms_atom_type[Y,Y,Y]  :  8.88889e-02 ; iterations: [ 8.88889e-02 ]
ring_strucs_name[Y,X,Y] :  5.53633e-02 ; iterations: [ 5.53633e-02 ]
rings[Y,Y]              :  5.53633e-02 ; iterations: [ 5.53633e-02 ]
atoms_element[Y,X,Y]    :  1.61762e-02 ; iterations: [ 1.61762e-02 ]

Attributes summed
bonds_bond_type         :  6.41192e-01 ; iterations: [ 6.41192e-01 ]
atoms_atom_type         :  4.83621e-01 ; iterations: [ 4.83621e-01 ]
atoms_charge            :  2.04863e-01 ; iterations: [ 2.04863e-01 ]
ring_strucs_name        :  5.53633e-02 ; iterations: [ 5.53633e-02 ]
rings                   :  5.53633e-02 ; iterations: [ 5.53633e-02 ]
atoms_element           :  1.61762e-02 ; iterations: [ 1.61762e-02 ]

Aggregators
count                   :  4.34538e-01 ; iterations: [ 4.34538e-01 ]
sum                     :  3.96992e-01 ; iterations: [ 3.96992e-01 ]
projection2_mode        :  3.55945e-01 ; iterations: [ 3.55945e-01 ]
max                     :  9.81964e-02 ; iterations: [ 9.81964e-02 ]
projection2_max         :  8.88889e-02 ; iterations: [ 8.88889e-02 ]
min                     :  8.20198e-02 ; iterations: [ 8.20198e-02 ]

