Attributes
atom_atomtype[X,Y,Y] :  3.65926e+00 ; iterations: [ 3.65926e+00 ]
atom_charge[X,Y,Y]   :  1.01789e+00 ; iterations: [ 1.01789e+00 ]
sbond_1_atomid[X,Y,Y]:  5.81748e-01 ; iterations: [ 5.81748e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.08468e-01 ; iterations: [ 5.08468e-01 ]
atom_charge[Y,Y,Y]   :  3.65553e-01 ; iterations: [ 3.65553e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.39107e-01 ; iterations: [ 1.39107e-01 ]
atom_name[X,Y,Y]     :  7.50396e-02 ; iterations: [ 7.50396e-02 ]
atom_name[Y,Y,Y]     :  3.19461e-02 ; iterations: [ 3.19461e-02 ]
atom_atomtype[Y,Y,Y] :  2.27308e-02 ; iterations: [ 2.27308e-02 ]

Attributes summed
atom_atomtype        :  3.68199e+00 ; iterations: [ 3.68199e+00 ]
atom_charge          :  1.38344e+00 ; iterations: [ 1.38344e+00 ]
sbond_1_atomid       :  1.09022e+00 ; iterations: [ 1.09022e+00 ]
sbond_2_atomid       :  1.39107e-01 ; iterations: [ 1.39107e-01 ]
atom_name            :  1.06986e-01 ; iterations: [ 1.06986e-01 ]

Aggregators
count                :  3.92576e+00 ; iterations: [ 3.92576e+00 ]
sum                  :  8.32141e-01 ; iterations: [ 8.32141e-01 ]
projection2_mode     :  7.11341e-01 ; iterations: [ 7.11341e-01 ]
mode                 :  4.20230e-01 ; iterations: [ 4.20230e-01 ]
max                  :  2.68079e-01 ; iterations: [ 2.68079e-01 ]
min                  :  1.54189e-01 ; iterations: [ 1.54189e-01 ]
projection0_mode     :  9.00000e-02 ; iterations: [ 9.00000e-02 ]

