Attributes
atom_atomtype[X,Y,Y] :  4.19313e+00 ; iterations: [ 4.19313e+00 ]
atom_charge[X,Y,Y]   :  1.63748e+00 ; iterations: [ 1.63748e+00 ]
sbond_1_atomid[Y,Y,Y]:  6.06959e-01 ; iterations: [ 6.06959e-01 ]
atom_name[X,Y,Y]     :  3.78969e-01 ; iterations: [ 3.78969e-01 ]
sbond_1_atomid[X,Y,Y]:  3.29670e-01 ; iterations: [ 3.29670e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.91806e-01 ; iterations: [ 1.91806e-01 ]
sbond_7_atomid[Y,Y,Y]:  1.54781e-01 ; iterations: [ 1.54781e-01 ]
sbond_2_atomid[X,Y,Y]:  1.48957e-01 ; iterations: [ 1.48957e-01 ]
atom_charge[Y,Y,Y]   :  1.16556e-01 ; iterations: [ 1.16556e-01 ]
atom_atomtype[Y,Y,Y] :  3.38790e-02 ; iterations: [ 3.38790e-02 ]
sbond_7_atomid[X,Y,Y]:  1.58926e-02 ; iterations: [ 1.58926e-02 ]

Attributes summed
atom_atomtype        :  4.22701e+00 ; iterations: [ 4.22701e+00 ]
atom_charge          :  1.75403e+00 ; iterations: [ 1.75403e+00 ]
sbond_1_atomid       :  9.36629e-01 ; iterations: [ 9.36629e-01 ]
atom_name            :  3.78969e-01 ; iterations: [ 3.78969e-01 ]
sbond_2_atomid       :  3.40763e-01 ; iterations: [ 3.40763e-01 ]
sbond_7_atomid       :  1.70674e-01 ; iterations: [ 1.70674e-01 ]

Aggregators
count                :  4.39705e+00 ; iterations: [ 4.39705e+00 ]
min                  :  1.05737e+00 ; iterations: [ 1.05737e+00 ]
sum                  :  9.08046e-01 ; iterations: [ 9.08046e-01 ]
projection0_mode     :  4.53144e-01 ; iterations: [ 4.53144e-01 ]
projection2_mode     :  3.88430e-01 ; iterations: [ 3.88430e-01 ]
mode                 :  3.39398e-01 ; iterations: [ 3.39398e-01 ]
max                  :  2.64651e-01 ; iterations: [ 2.64651e-01 ]

