Attributes
atom_atomtype[X,Y,Y] :  4.30671e+00 ; iterations: [ 4.30671e+00 ]
atom_charge[X,Y,Y]   :  9.27132e-01 ; iterations: [ 9.27132e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.71921e-01 ; iterations: [ 5.71921e-01 ]
atom_name[X,Y,Y]     :  3.58473e-01 ; iterations: [ 3.58473e-01 ]
atom_charge[Y,Y,Y]   :  2.52895e-01 ; iterations: [ 2.52895e-01 ]
sbond_1_atomid[X,Y,Y]:  2.25833e-01 ; iterations: [ 2.25833e-01 ]
atom_atomtype[Y,Y,Y] :  1.49645e-01 ; iterations: [ 1.49645e-01 ]
sbond_2_atomid[X,Y,Y]:  1.36255e-01 ; iterations: [ 1.36255e-01 ]
atom_name[Y,Y,Y]     :  8.45753e-02 ; iterations: [ 8.45753e-02 ]
sbond_2_atomid[Y,Y,Y]:  4.86111e-02 ; iterations: [ 4.86111e-02 ]
sbond_7_atomid[X,Y,Y]:  9.66921e-03 ; iterations: [ 9.66921e-03 ]
sbond_7_atomid[Y,Y,Y]:  9.66921e-03 ; iterations: [ 9.66921e-03 ]

Attributes summed
atom_atomtype        :  4.45636e+00 ; iterations: [ 4.45636e+00 ]
atom_charge          :  1.18003e+00 ; iterations: [ 1.18003e+00 ]
sbond_1_atomid       :  7.97753e-01 ; iterations: [ 7.97753e-01 ]
atom_name            :  4.43049e-01 ; iterations: [ 4.43049e-01 ]
sbond_2_atomid       :  1.84866e-01 ; iterations: [ 1.84866e-01 ]
sbond_7_atomid       :  1.93384e-02 ; iterations: [ 1.93384e-02 ]

Aggregators
count                :  4.18646e+00 ; iterations: [ 4.18646e+00 ]
sum                  :  8.78715e-01 ; iterations: [ 8.78715e-01 ]
projection2_mode     :  5.98723e-01 ; iterations: [ 5.98723e-01 ]
mode                 :  5.71962e-01 ; iterations: [ 5.71962e-01 ]
max                  :  5.21161e-01 ; iterations: [ 5.21161e-01 ]
min                  :  3.24375e-01 ; iterations: [ 3.24375e-01 ]

