Attributes
atom_atomtype[X,Y,Y] :  4.51941e+00 ; iterations: [ 4.51941e+00 ]
atom_charge[X,Y,Y]   :  9.45570e-01 ; iterations: [ 9.45570e-01 ]
atom_charge[Y,Y,Y]   :  8.58308e-01 ; iterations: [ 8.58308e-01 ]
atom_name[X,Y,Y]     :  5.88937e-01 ; iterations: [ 5.88937e-01 ]
sbond_1_atomid[X,Y,Y]:  4.88221e-01 ; iterations: [ 4.88221e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.49357e-01 ; iterations: [ 4.49357e-01 ]
sbond_7_atomid[X,Y,Y]:  2.17458e-01 ; iterations: [ 2.17458e-01 ]
sbond_2_atomid[Y,Y,Y]:  6.09057e-02 ; iterations: [ 6.09057e-02 ]
sbond_2_atomid[X,Y,Y]:  5.31814e-02 ; iterations: [ 5.31814e-02 ]
atom_atomtype[Y,Y,Y] :  5.14544e-02 ; iterations: [ 5.14544e-02 ]
atom_name[Y,Y,Y]     :  3.43702e-02 ; iterations: [ 3.43702e-02 ]
sbond_3_atomid[Y,Y,Y]:  3.01932e-02 ; iterations: [ 3.01932e-02 ]
sbond_7_atomid[Y,Y,Y]:  3.00017e-02 ; iterations: [ 3.00017e-02 ]

Attributes summed
atom_atomtype        :  4.57086e+00 ; iterations: [ 4.57086e+00 ]
atom_charge          :  1.80388e+00 ; iterations: [ 1.80388e+00 ]
sbond_1_atomid       :  9.37577e-01 ; iterations: [ 9.37577e-01 ]
atom_name            :  6.23307e-01 ; iterations: [ 6.23307e-01 ]
sbond_7_atomid       :  2.47460e-01 ; iterations: [ 2.47460e-01 ]
sbond_2_atomid       :  1.14087e-01 ; iterations: [ 1.14087e-01 ]
sbond_3_atomid       :  3.01932e-02 ; iterations: [ 3.01932e-02 ]

Aggregators
count                :  3.48610e+00 ; iterations: [ 3.48610e+00 ]
projection2_mode     :  1.33154e+00 ; iterations: [ 1.33154e+00 ]
min                  :  1.15331e+00 ; iterations: [ 1.15331e+00 ]
mode                 :  9.11537e-01 ; iterations: [ 9.11537e-01 ]
sum                  :  7.93620e-01 ; iterations: [ 7.93620e-01 ]
max                  :  4.81664e-01 ; iterations: [ 4.81664e-01 ]
projection0_mode     :  1.69601e-01 ; iterations: [ 1.69601e-01 ]

