Attributes
atom_atomtype[X,Y,Y] :  5.37735e+00 ; iterations: [ 5.37735e+00 ]
atom_name[X,Y,Y]     :  9.26263e-01 ; iterations: [ 9.26263e-01 ]
atom_charge[X,Y,Y]   :  9.20393e-01 ; iterations: [ 9.20393e-01 ]
atom_charge[Y,Y,Y]   :  8.17146e-01 ; iterations: [ 8.17146e-01 ]
sbond_1_atomid[X,Y,Y]:  6.02068e-01 ; iterations: [ 6.02068e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.12924e-01 ; iterations: [ 3.12924e-01 ]
sbond_2_atomid[Y,Y,Y]:  2.43191e-01 ; iterations: [ 2.43191e-01 ]
sbond_2_atomid[X,Y,Y]:  6.40393e-02 ; iterations: [ 6.40393e-02 ]
atom_atomtype[Y,Y,Y] :  5.33191e-02 ; iterations: [ 5.33191e-02 ]
atom_name[Y,Y,Y]     :  1.73410e-02 ; iterations: [ 1.73410e-02 ]
sbond_7_atomid[Y,Y,Y]:  1.07269e-02 ; iterations: [ 1.07269e-02 ]

Attributes summed
atom_atomtype        :  5.43067e+00 ; iterations: [ 5.43067e+00 ]
atom_charge          :  1.73754e+00 ; iterations: [ 1.73754e+00 ]
atom_name            :  9.43604e-01 ; iterations: [ 9.43604e-01 ]
sbond_1_atomid       :  9.14992e-01 ; iterations: [ 9.14992e-01 ]
sbond_2_atomid       :  3.07230e-01 ; iterations: [ 3.07230e-01 ]
sbond_7_atomid       :  1.07269e-02 ; iterations: [ 1.07269e-02 ]

Aggregators
count                :  4.30754e+00 ; iterations: [ 4.30754e+00 ]
projection2_mode     :  2.02080e+00 ; iterations: [ 2.02080e+00 ]
mode                 :  8.73609e-01 ; iterations: [ 8.73609e-01 ]
sum                  :  8.60335e-01 ; iterations: [ 8.60335e-01 ]
max                  :  5.12142e-01 ; iterations: [ 5.12142e-01 ]
min                  :  4.94160e-01 ; iterations: [ 4.94160e-01 ]
projection0_mode     :  2.76173e-01 ; iterations: [ 2.76173e-01 ]

