Attributes
atom_atomtype[X,Y,Y] :  4.98507e+00 ; iterations: [ 4.98507e+00 ]
atom_charge[X,Y,Y]   :  1.09900e+00 ; iterations: [ 1.09900e+00 ]
sbond_1_atomid[X,Y,Y]:  6.32329e-01 ; iterations: [ 6.32329e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.91881e-01 ; iterations: [ 2.91881e-01 ]
atom_charge[Y,Y,Y]   :  2.48958e-01 ; iterations: [ 2.48958e-01 ]
atom_atomtype[Y,Y,Y] :  1.59949e-01 ; iterations: [ 1.59949e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.45067e-01 ; iterations: [ 1.45067e-01 ]
atom_name[X,Y,Y]     :  1.19973e-01 ; iterations: [ 1.19973e-01 ]
sbond_7_atomid[X,Y,Y]:  3.23614e-02 ; iterations: [ 3.23614e-02 ]
sbond_2_atomid[X,Y,Y]:  1.98554e-02 ; iterations: [ 1.98554e-02 ]
sbond_7_atomid[Y,Y,Y]:  1.24337e-02 ; iterations: [ 1.24337e-02 ]

Attributes summed
atom_atomtype        :  5.14502e+00 ; iterations: [ 5.14502e+00 ]
atom_charge          :  1.34796e+00 ; iterations: [ 1.34796e+00 ]
sbond_1_atomid       :  9.24210e-01 ; iterations: [ 9.24210e-01 ]
sbond_2_atomid       :  1.64922e-01 ; iterations: [ 1.64922e-01 ]
atom_name            :  1.19973e-01 ; iterations: [ 1.19973e-01 ]
sbond_7_atomid       :  4.47951e-02 ; iterations: [ 4.47951e-02 ]

Aggregators
count                :  4.98761e+00 ; iterations: [ 4.98761e+00 ]
sum                  :  1.16446e+00 ; iterations: [ 1.16446e+00 ]
projection2_mode     :  5.37207e-01 ; iterations: [ 5.37207e-01 ]
min                  :  4.58171e-01 ; iterations: [ 4.58171e-01 ]
mode                 :  3.63584e-01 ; iterations: [ 3.63584e-01 ]
projection0_mode     :  1.45067e-01 ; iterations: [ 1.45067e-01 ]
max                  :  9.07807e-02 ; iterations: [ 9.07807e-02 ]

