Attributes
bonds_bond_type[X,Y,Y,Y]:  6.77195e-01 ; iterations: [ 6.77195e-01 ]
atoms_atom_type[Y,X,Y]  :  6.19397e-01 ; iterations: [ 6.19397e-01 ]
atoms_charge[Y,X,Y]     :  4.66088e-01 ; iterations: [ 4.66088e-01 ]
atoms_charge[Y,Y,Y]     :  3.19692e-01 ; iterations: [ 3.19692e-01 ]
atoms_atom_type[Y,Y,Y]  :  1.93221e-01 ; iterations: [ 1.93221e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  6.73973e-02 ; iterations: [ 6.73973e-02 ]
atoms_element[Y,X,Y]    :  6.17284e-02 ; iterations: [ 6.17284e-02 ]
drugs_logp[X,Y]         :  3.48796e-02 ; iterations: [ 3.48796e-02 ]

Attributes summed
atoms_atom_type         :  8.12618e-01 ; iterations: [ 8.12618e-01 ]
atoms_charge            :  7.85780e-01 ; iterations: [ 7.85780e-01 ]
bonds_bond_type         :  7.44592e-01 ; iterations: [ 7.44592e-01 ]
atoms_element           :  6.17284e-02 ; iterations: [ 6.17284e-02 ]
drugs_logp              :  3.48796e-02 ; iterations: [ 3.48796e-02 ]

Aggregators
sum                     :  9.42862e-01 ; iterations: [ 9.42862e-01 ]
count                   :  4.65918e-01 ; iterations: [ 4.65918e-01 ]
max                     :  3.12510e-01 ; iterations: [ 3.12510e-01 ]
projection2_min         :  2.70089e-01 ; iterations: [ 2.70089e-01 ]
mode                    :  1.87500e-01 ; iterations: [ 1.87500e-01 ]
min                     :  1.86468e-01 ; iterations: [ 1.86468e-01 ]
projection0_mode        :  6.17284e-02 ; iterations: [ 6.17284e-02 ]
projection3_mode        :  6.80272e-03 ; iterations: [ 6.80272e-03 ]
projection2_max         :  5.72124e-03 ; iterations: [ 5.72124e-03 ]

