Attributes
atom_atomtype[X,Y,Y] :  6.58510e+00 ; iterations: [ 6.58510e+00 ]
atom_charge[X,Y,Y]   :  7.62902e-01 ; iterations: [ 7.62902e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.31341e-01 ; iterations: [ 3.31341e-01 ]
atom_charge[Y,Y,Y]   :  3.30363e-01 ; iterations: [ 3.30363e-01 ]
sbond_2_atomid[X,Y,Y]:  1.92702e-01 ; iterations: [ 1.92702e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.52017e-01 ; iterations: [ 1.52017e-01 ]
atom_name[X,Y,Y]     :  1.15309e-01 ; iterations: [ 1.15309e-01 ]
sbond_1_atomid[X,Y,Y]:  9.19011e-02 ; iterations: [ 9.19011e-02 ]
sbond_7_atomid[X,Y,Y]:  4.00789e-02 ; iterations: [ 4.00789e-02 ]
atom_atomtype[Y,Y,Y] :  1.58621e-02 ; iterations: [ 1.58621e-02 ]
sbond_7_atomid[Y,Y,Y]:  1.30582e-02 ; iterations: [ 1.30582e-02 ]
atom_name[Y,Y,Y]     :  1.18682e-02 ; iterations: [ 1.18682e-02 ]

Attributes summed
atom_atomtype        :  6.60096e+00 ; iterations: [ 6.60096e+00 ]
atom_charge          :  1.09326e+00 ; iterations: [ 1.09326e+00 ]
sbond_1_atomid       :  4.23242e-01 ; iterations: [ 4.23242e-01 ]
sbond_2_atomid       :  3.44719e-01 ; iterations: [ 3.44719e-01 ]
atom_name            :  1.27177e-01 ; iterations: [ 1.27177e-01 ]
sbond_7_atomid       :  5.31371e-02 ; iterations: [ 5.31371e-02 ]

Aggregators
count                :  5.45270e+00 ; iterations: [ 5.45270e+00 ]
projection2_mode     :  1.46920e+00 ; iterations: [ 1.46920e+00 ]
max                  :  4.23820e-01 ; iterations: [ 4.23820e-01 ]
mode                 :  3.58093e-01 ; iterations: [ 3.58093e-01 ]
sum                  :  3.29552e-01 ; iterations: [ 3.29552e-01 ]
min                  :  3.27932e-01 ; iterations: [ 3.27932e-01 ]
projection0_mode     :  2.81193e-01 ; iterations: [ 2.81193e-01 ]

