Attributes
atom_atomtype[X,Y,Y] :  4.37500e+00 ; iterations: [ 4.37500e+00 ]
atom_charge[X,Y,Y]   :  9.69888e-01 ; iterations: [ 9.69888e-01 ]
atom_name[X,Y,Y]     :  6.79595e-01 ; iterations: [ 6.79595e-01 ]
atom_charge[Y,Y,Y]   :  2.40980e-01 ; iterations: [ 2.40980e-01 ]
sbond_7_atomid[Y,Y,Y]:  2.36096e-01 ; iterations: [ 2.36096e-01 ]
sbond_2_atomid[X,Y,Y]:  1.79833e-01 ; iterations: [ 1.79833e-01 ]
sbond_1_atomid[X,Y,Y]:  8.25253e-02 ; iterations: [ 8.25253e-02 ]
atom_atomtype[Y,Y,Y] :  6.11514e-02 ; iterations: [ 6.11514e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.88904e-02 ; iterations: [ 3.88904e-02 ]
atom_name[Y,Y,Y]     :  3.57143e-02 ; iterations: [ 3.57143e-02 ]
sbond_1_atomid[Y,Y,Y]:  1.06723e-02 ; iterations: [ 1.06723e-02 ]

Attributes summed
atom_atomtype        :  4.43615e+00 ; iterations: [ 4.43615e+00 ]
atom_charge          :  1.21087e+00 ; iterations: [ 1.21087e+00 ]
atom_name            :  7.15310e-01 ; iterations: [ 7.15310e-01 ]
sbond_7_atomid       :  2.36096e-01 ; iterations: [ 2.36096e-01 ]
sbond_2_atomid       :  2.18723e-01 ; iterations: [ 2.18723e-01 ]
sbond_1_atomid       :  9.31977e-02 ; iterations: [ 9.31977e-02 ]

Aggregators
count                :  3.19002e+00 ; iterations: [ 3.19002e+00 ]
projection2_mode     :  1.87566e+00 ; iterations: [ 1.87566e+00 ]
sum                  :  6.74787e-01 ; iterations: [ 6.74787e-01 ]
mode                 :  6.65666e-01 ; iterations: [ 6.65666e-01 ]
max                  :  2.75378e-01 ; iterations: [ 2.75378e-01 ]
min                  :  2.00800e-01 ; iterations: [ 2.00800e-01 ]
projection0_mode     :  2.80405e-02 ; iterations: [ 2.80405e-02 ]

