Attributes
atom_atomtype[X,Y,Y] :  4.74204e+00 ; iterations: [ 4.74204e+00 ]
atom_charge[X,Y,Y]   :  1.00511e+00 ; iterations: [ 1.00511e+00 ]
atom_charge[Y,Y,Y]   :  6.68293e-01 ; iterations: [ 6.68293e-01 ]
sbond_1_atomid[Y,Y,Y]:  3.19060e-01 ; iterations: [ 3.19060e-01 ]
atom_name[X,Y,Y]     :  2.27220e-01 ; iterations: [ 2.27220e-01 ]
sbond_1_atomid[X,Y,Y]:  2.22911e-01 ; iterations: [ 2.22911e-01 ]
sbond_2_atomid[X,Y,Y]:  1.56522e-01 ; iterations: [ 1.56522e-01 ]
atom_atomtype[Y,Y,Y] :  1.51046e-01 ; iterations: [ 1.51046e-01 ]
sbond_2_atomid[Y,Y,Y]:  3.33308e-02 ; iterations: [ 3.33308e-02 ]

Attributes summed
atom_atomtype        :  4.89308e+00 ; iterations: [ 4.89308e+00 ]
atom_charge          :  1.67340e+00 ; iterations: [ 1.67340e+00 ]
sbond_1_atomid       :  5.41971e-01 ; iterations: [ 5.41971e-01 ]
atom_name            :  2.27220e-01 ; iterations: [ 2.27220e-01 ]
sbond_2_atomid       :  1.89853e-01 ; iterations: [ 1.89853e-01 ]

Aggregators
count                :  3.80311e+00 ; iterations: [ 3.80311e+00 ]
max                  :  1.61613e+00 ; iterations: [ 1.61613e+00 ]
projection2_mode     :  8.94645e-01 ; iterations: [ 8.94645e-01 ]
mode                 :  7.99645e-01 ; iterations: [ 7.99645e-01 ]
sum                  :  3.14192e-01 ; iterations: [ 3.14192e-01 ]
min                  :  7.76998e-02 ; iterations: [ 7.76998e-02 ]
projection0_mode     :  2.01056e-02 ; iterations: [ 2.01056e-02 ]

