Attributes
atom_atomtype[X,Y,Y] :  4.53544e+00 ; iterations: [ 4.53544e+00 ]
atom_charge[X,Y,Y]   :  6.35440e-01 ; iterations: [ 6.35440e-01 ]
atom_charge[Y,Y,Y]   :  3.91661e-01 ; iterations: [ 3.91661e-01 ]
sbond_1_atomid[X,Y,Y]:  2.72017e-01 ; iterations: [ 2.72017e-01 ]
sbond_1_atomid[Y,Y,Y]:  1.91397e-01 ; iterations: [ 1.91397e-01 ]
atom_name[Y,Y,Y]     :  1.11733e-01 ; iterations: [ 1.11733e-01 ]
atom_atomtype[Y,Y,Y] :  7.15185e-02 ; iterations: [ 7.15185e-02 ]
sbond_2_atomid[Y,Y,Y]:  4.84344e-02 ; iterations: [ 4.84344e-02 ]
sbond_7_atomid[X,Y,Y]:  4.44752e-02 ; iterations: [ 4.44752e-02 ]
sbond_2_atomid[X,Y,Y]:  2.66281e-02 ; iterations: [ 2.66281e-02 ]

Attributes summed
atom_atomtype        :  4.60696e+00 ; iterations: [ 4.60696e+00 ]
atom_charge          :  1.02710e+00 ; iterations: [ 1.02710e+00 ]
sbond_1_atomid       :  4.63413e-01 ; iterations: [ 4.63413e-01 ]
atom_name            :  1.11733e-01 ; iterations: [ 1.11733e-01 ]
sbond_2_atomid       :  7.50625e-02 ; iterations: [ 7.50625e-02 ]
sbond_7_atomid       :  4.44752e-02 ; iterations: [ 4.44752e-02 ]

Aggregators
count                :  3.78900e+00 ; iterations: [ 3.78900e+00 ]
projection2_mode     :  8.30469e-01 ; iterations: [ 8.30469e-01 ]
sum                  :  7.09539e-01 ; iterations: [ 7.09539e-01 ]
mode                 :  5.74913e-01 ; iterations: [ 5.74913e-01 ]
min                  :  2.19925e-01 ; iterations: [ 2.19925e-01 ]
projection0_mode     :  1.11574e-01 ; iterations: [ 1.11574e-01 ]
max                  :  9.33278e-02 ; iterations: [ 9.33278e-02 ]

