Attributes
atom_atomtype[X,Y,Y] :  5.18177e+00 ; iterations: [ 5.18177e+00 ]
atom_charge[Y,Y,Y]   :  6.05100e-01 ; iterations: [ 6.05100e-01 ]
atom_charge[X,Y,Y]   :  6.03870e-01 ; iterations: [ 6.03870e-01 ]
sbond_1_atomid[X,Y,Y]:  4.53752e-01 ; iterations: [ 4.53752e-01 ]
sbond_1_atomid[Y,Y,Y]:  4.41201e-01 ; iterations: [ 4.41201e-01 ]
sbond_3_atomid[Y,Y,Y]:  2.40000e-01 ; iterations: [ 2.40000e-01 ]
atom_name[X,Y,Y]     :  1.14987e-01 ; iterations: [ 1.14987e-01 ]
atom_atomtype[Y,Y,Y] :  9.27703e-02 ; iterations: [ 9.27703e-02 ]
sbond_2_atomid[Y,Y,Y]:  3.27430e-02 ; iterations: [ 3.27430e-02 ]
sbond_2_atomid[X,Y,Y]:  1.88640e-02 ; iterations: [ 1.88640e-02 ]

Attributes summed
atom_atomtype        :  5.27454e+00 ; iterations: [ 5.27454e+00 ]
atom_charge          :  1.20897e+00 ; iterations: [ 1.20897e+00 ]
sbond_1_atomid       :  8.94953e-01 ; iterations: [ 8.94953e-01 ]
sbond_3_atomid       :  2.40000e-01 ; iterations: [ 2.40000e-01 ]
atom_name            :  1.14987e-01 ; iterations: [ 1.14987e-01 ]
sbond_2_atomid       :  5.16071e-02 ; iterations: [ 5.16071e-02 ]

Aggregators
count                :  4.15437e+00 ; iterations: [ 4.15437e+00 ]
sum                  :  9.15325e-01 ; iterations: [ 9.15325e-01 ]
projection2_mode     :  6.98039e-01 ; iterations: [ 6.98039e-01 ]
mode                 :  6.79359e-01 ; iterations: [ 6.79359e-01 ]
min                  :  5.17188e-01 ; iterations: [ 5.17188e-01 ]
projection0_mode     :  5.11091e-01 ; iterations: [ 5.11091e-01 ]
max                  :  3.09687e-01 ; iterations: [ 3.09687e-01 ]

