Attributes
bonds_bond_type[X,Y,Y,Y]:  6.43956e-01 ; iterations: [ 6.43956e-01 ]
atoms_atom_type[Y,X,Y]  :  5.52988e-01 ; iterations: [ 5.52988e-01 ]
atoms_charge[Y,Y,Y]     :  4.12872e-01 ; iterations: [ 4.12872e-01 ]
atoms_charge[Y,X,Y]     :  1.53534e-01 ; iterations: [ 1.53534e-01 ]
atoms_element[Y,X,Y]    :  8.49495e-02 ; iterations: [ 8.49495e-02 ]
atoms_atom_type[Y,Y,Y]  :  4.15879e-02 ; iterations: [ 4.15879e-02 ]

Attributes summed
bonds_bond_type         :  6.43956e-01 ; iterations: [ 6.43956e-01 ]
atoms_atom_type         :  5.94576e-01 ; iterations: [ 5.94576e-01 ]
atoms_charge            :  5.66406e-01 ; iterations: [ 5.66406e-01 ]
atoms_element           :  8.49495e-02 ; iterations: [ 8.49495e-02 ]

Aggregators
sum                     :  5.42409e-01 ; iterations: [ 5.42409e-01 ]
min                     :  3.15817e-01 ; iterations: [ 3.15817e-01 ]
count                   :  2.60013e-01 ; iterations: [ 2.60013e-01 ]
projection2_max         :  2.52872e-01 ; iterations: [ 2.52872e-01 ]
projection2_min         :  2.01588e-01 ; iterations: [ 2.01588e-01 ]
max                     :  1.74662e-01 ; iterations: [ 1.74662e-01 ]
projection2_mode        :  1.05992e-01 ; iterations: [ 1.05992e-01 ]
projection1_mode        :  3.65338e-02 ; iterations: [ 3.65338e-02 ]

