Attributes
atom_atomtype[X,Y,Y] :  3.97475e+00 ; iterations: [ 3.97475e+00 ]
atom_charge[X,Y,Y]   :  1.47058e+00 ; iterations: [ 1.47058e+00 ]
sbond_2_atomid[Y,Y,Y]:  5.12547e-01 ; iterations: [ 5.12547e-01 ]
sbond_1_atomid[X,Y,Y]:  5.11394e-01 ; iterations: [ 5.11394e-01 ]
atom_charge[Y,Y,Y]   :  2.60758e-01 ; iterations: [ 2.60758e-01 ]
atom_name[X,Y,Y]     :  2.51318e-01 ; iterations: [ 2.51318e-01 ]
atom_atomtype[Y,Y,Y] :  1.89338e-01 ; iterations: [ 1.89338e-01 ]
sbond_2_atomid[X,Y,Y]:  1.61386e-01 ; iterations: [ 1.61386e-01 ]
sbond_1_atomid[Y,Y,Y]:  5.93872e-02 ; iterations: [ 5.93872e-02 ]
sbond_7_atomid[X,Y,Y]:  3.76714e-02 ; iterations: [ 3.76714e-02 ]
atom_name[Y,Y,Y]     :  3.25444e-02 ; iterations: [ 3.25444e-02 ]

Attributes summed
atom_atomtype        :  4.16409e+00 ; iterations: [ 4.16409e+00 ]
atom_charge          :  1.73134e+00 ; iterations: [ 1.73134e+00 ]
sbond_2_atomid       :  6.73933e-01 ; iterations: [ 6.73933e-01 ]
sbond_1_atomid       :  5.70781e-01 ; iterations: [ 5.70781e-01 ]
atom_name            :  2.83862e-01 ; iterations: [ 2.83862e-01 ]
sbond_7_atomid       :  3.76714e-02 ; iterations: [ 3.76714e-02 ]

Aggregators
count                :  4.16690e+00 ; iterations: [ 4.16690e+00 ]
projection2_mode     :  1.15718e+00 ; iterations: [ 1.15718e+00 ]
min                  :  5.80935e-01 ; iterations: [ 5.80935e-01 ]
max                  :  4.48245e-01 ; iterations: [ 4.48245e-01 ]
sum                  :  4.46574e-01 ; iterations: [ 4.46574e-01 ]
mode                 :  3.89288e-01 ; iterations: [ 3.89288e-01 ]
projection0_mode     :  2.72544e-01 ; iterations: [ 2.72544e-01 ]

