Attributes
atom_atomtype[X,Y,Y] :  3.44221e+00 ; iterations: [ 3.44221e+00 ]
atom_charge[X,Y,Y]   :  1.06420e+00 ; iterations: [ 1.06420e+00 ]
atom_charge[Y,Y,Y]   :  4.99834e-01 ; iterations: [ 4.99834e-01 ]
sbond_1_atomid[X,Y,Y]:  3.61276e-01 ; iterations: [ 3.61276e-01 ]
sbond_2_atomid[X,Y,Y]:  3.35385e-01 ; iterations: [ 3.35385e-01 ]
atom_name[X,Y,Y]     :  2.96937e-01 ; iterations: [ 2.96937e-01 ]
atom_name[Y,Y,Y]     :  2.56790e-01 ; iterations: [ 2.56790e-01 ]
sbond_1_atomid[Y,Y,Y]:  2.01179e-01 ; iterations: [ 2.01179e-01 ]
sbond_2_atomid[Y,Y,Y]:  1.85763e-01 ; iterations: [ 1.85763e-01 ]
sbond_7_atomid[X,Y,Y]:  6.53679e-02 ; iterations: [ 6.53679e-02 ]
atom_atomtype[Y,Y,Y] :  5.25734e-02 ; iterations: [ 5.25734e-02 ]
sbond_7_atomid[Y,Y,Y]:  3.21459e-02 ; iterations: [ 3.21459e-02 ]

Attributes summed
atom_atomtype        :  3.49478e+00 ; iterations: [ 3.49478e+00 ]
atom_charge          :  1.56403e+00 ; iterations: [ 1.56403e+00 ]
sbond_1_atomid       :  5.62455e-01 ; iterations: [ 5.62455e-01 ]
atom_name            :  5.53727e-01 ; iterations: [ 5.53727e-01 ]
sbond_2_atomid       :  5.21149e-01 ; iterations: [ 5.21149e-01 ]
sbond_7_atomid       :  9.75137e-02 ; iterations: [ 9.75137e-02 ]

Aggregators
count                :  3.78051e+00 ; iterations: [ 3.78051e+00 ]
mode                 :  9.74760e-01 ; iterations: [ 9.74760e-01 ]
projection2_mode     :  8.17567e-01 ; iterations: [ 8.17567e-01 ]
sum                  :  7.15265e-01 ; iterations: [ 7.15265e-01 ]
max                  :  4.43712e-01 ; iterations: [ 4.43712e-01 ]
min                  :  6.18414e-02 ; iterations: [ 6.18414e-02 ]

